team_year,year,team,conference,seed,overall,offense,defense,tier,finish
2015 Kentucky,2015,Kentucky,SEC,1,10,7.39,8.79,S,Final Four
2019 Virginia,2019,Virginia,ACC,1,9.78,8.08,7.49,S,Champion
2019 Gonzaga,2019,Gonzaga,WCC,1,9.59,8.59,6.5,S,Elite Eight
2021 Gonzaga,2021,Gonzaga,WCC,1,9.58,8.9,6.4,S,Runner Up
2008 Kansas,2008,Kansas,Big 12,1,9.52,7.85,7.5,S,Champion
2018 Villanova,2018,Villanova,Big East,1,9.46,9.2,5.64,S,Champion
2015 Wisconsin,2015,Wisconsin,Big 10,1,9.45,8.25,6.82,S,Runner Up
2010 Duke,2010,Duke,ACC,1,9.44,7.65,7.3,S,Champion
2011 Ohio St.,2011,Ohio St.,Big 10,1,9.39,7.99,6.96,S,Sweet 16
2024 Houston,2024,Houston,Big 12,1,9.34,6.61,8.66,A,Sweet 16
2010 Kansas,2010,Kansas,Big 12,1,9.31,7.84,6.96,S,Second Round
2013 Florida,2013,Florida,SEC,3,9.29,6.59,8.4,B,Elite Eight
2019 Duke,2019,Duke,ACC,1,9.29,7.41,7.39,S,Elite Eight
2015 Duke,2015,Duke,ACC,1,9.28,8.94,5.62,S,Champion
2022 Gonzaga,2022,Gonzaga,WCC,1,9.25,7.95,6.8,S,Sweet 16
2017 Gonzaga,2017,Gonzaga,WCC,1,9.23,7.46,7.3,S,Runner Up
2013 Louisville,2013,Louisville,Big East,1,9.2,6.55,8.24,S,Champion
2018 Virginia,2018,Virginia,ACC,1,9.15,6.24,8.56,S,First Round
2012 Kentucky,2012,Kentucky,SEC,1,9.11,7.64,6.89,S,Champion
2009 North Carolina,2009,North Carolina,ACC,1,9.09,9.31,4.79,S,Champion
2017 Villanova,2017,Villanova,Big East,1,9.07,7.95,6.4,S,Second Round
2015 Arizona,2015,Arizona,Pac 12,2,9.06,7.02,7.46,S,Elite Eight
2021 Baylor,2021,Baylor,Big 12,1,9.04,8.38,5.84,S,Champion
2014 Louisville,2014,Louisville,AAC,4,9.04,7.29,7.17,S,Sweet 16
2013 Indiana,2013,Indiana,Big 10,1,9.03,8.25,6.11,S,Sweet 16
2012 Ohio St.,2012,Ohio St.,Big 10,2,9.03,7,7.45,S,Final Four
2019 Michigan St.,2019,Michigan St.,Big 10,2,9.01,7.55,6.68,S,Final Four
2015 Virginia,2015,Virginia,ACC,2,9,5.2,9.51,S,Second Round
2023 Houston,2023,Houston,AAC,1,8.99,6.99,7.3,S,Sweet 16
2015 Villanova,2015,Villanova,Big East,1,8.93,7.66,6.5,S,Second Round
2018 Duke,2018,Duke,ACC,2,8.89,8.06,5.99,S,Elite Eight
2011 Kansas,2011,Kansas,Big 12,1,8.89,7.79,6.32,S,Elite Eight
2008 North Carolina,2008,North Carolina,ACC,1,8.89,8.88,4.98,S,Final Four
2008 UCLA,2008,UCLA,Pac 12,1,8.87,6.64,7.58,S,Final Four
2008 Memphis,2008,Memphis,CUSA,1,8.86,6.71,7.56,S,Runner Up
2011 Duke,2011,Duke,ACC,1,8.82,7.7,6.29,S,Sweet 16
2016 Villanova,2016,Villanova,Big East,2,8.77,6.91,7.03,S,Champion
2016 Kansas,2016,Kansas,Big 12,1,8.76,7.65,6.24,S,Elite Eight
2017 North Carolina,2017,North Carolina,ACC,1,8.76,7.73,6.13,S,Champion
2019 North Carolina,2019,North Carolina,ACC,1,8.76,7.35,6.53,S,Sweet 16
2022 Houston,2022,Houston,AAC,5,8.75,6.93,6.95,S,Elite Eight
2009 Memphis,2009,Memphis,CUSA,2,8.75,5.65,8.59,S,Sweet 16
2014 Florida,2014,Florida,SEC,1,8.73,5.96,8,S,Final Four
2016 Michigan St.,2016,Michigan St.,Big 10,2,8.72,7.69,6.04,S,First Round
2016 Virginia,2016,Virginia,ACC,1,8.71,6.18,7.76,S,Elite Eight
2021 Houston,2021,Houston,AAC,2,8.68,7.13,6.74,B,Final Four
2014 Arizona,2014,Arizona,Pac 12,1,8.68,5.95,8.11,S,Elite Eight
2009 Pittsburgh,2009,Pittsburgh,Big East,1,8.68,7.63,6.16,S,Elite Eight
2023 Alabama,2023,Alabama,SEC,1,8.67,6.41,7.42,S,Sweet 16
2009 Connecticut,2009,Connecticut,Big East,1,8.67,6.95,6.88,S,Final Four
2021 Illinois,2021,Illinois,Big 10,1,8.65,7.01,6.75,S,Second Round
2019 Michigan,2019,Michigan,Big 10,2,8.65,6.05,7.95,S,Sweet 16
2010 Syracuse,2010,Syracuse,Big East,1,8.65,7.53,6.13,S,Sweet 16
2021 Michigan,2021,Michigan,Big 10,1,8.64,7.07,6.66,S,Elite Eight
2016 North Carolina,2016,North Carolina,ACC,1,8.64,8.02,5.48,S,Runner Up
2018 Purdue,2018,Purdue,Big 10,2,8.64,8.07,5.59,S,Sweet 16
2019 Texas Tech,2019,Texas Tech,Big 12,3,8.6,5.64,8.16,S,Runner Up
2008 Duke,2008,Duke,ACC,2,8.59,7.56,6.05,S,Second Round
2018 Cincinnati,2018,Cincinnati,AAC,2,8.56,5.63,8.06,S,Second Round
2012 Michigan St.,2012,Michigan St.,Big 10,1,8.56,6.12,7.6,S,Sweet 16
2019 Kentucky,2019,Kentucky,SEC,2,8.55,6.88,6.6,S,Elite Eight
2011 Pittsburgh,2011,Pittsburgh,Big East,1,8.55,7,6.53,S,Second Round
2023 Connecticut,2023,Connecticut,Big East,4,8.53,7.22,6.22,S,Champion
2024 Arizona,2024,Arizona,Pac 12,2,8.52,7.23,6.43,A,Elite Eight
2014 Duke,2014,Duke,ACC,3,8.51,8.59,4.82,B,First Round
2023 UCLA,2023,UCLA,Pac 12,2,8.51,6.11,7.5,S,Sweet 16
2017 Florida,2017,Florida,SEC,4,8.49,6.47,7.06,S,Elite Eight
2017 Kansas,2017,Kansas,Big 12,1,8.48,7.73,5.62,S,Elite Eight
2024 Purdue,2024,Purdue,Big 10,1,8.48,7.95,5.75,S,Champion
2021 Iowa,2021,Iowa,Big 10,2,8.46,8.49,4.83,B,Second Round
2009 Duke,2009,Duke,ACC,2,8.46,7.15,6.18,S,Sweet 16
2017 Kentucky,2017,Kentucky,SEC,2,8.46,7.11,6.36,S,Elite Eight
2017 Louisville,2017,Louisville,ACC,2,8.46,6.5,6.98,S,Second Round
2022 Baylor,2022,Baylor,Big 12,1,8.45,7,6.41,S,Second Round
2022 Arizona,2022,Arizona,Pac 12,1,8.44,7.24,6.09,S,Sweet 16
2012 Syracuse,2012,Syracuse,Big East,1,8.44,6.7,6.66,S,Elite Eight
2017 West Virginia,2017,West Virginia,Big 12,4,8.44,6.49,6.97,S,Sweet 16
2013 Duke,2013,Duke,ACC,2,8.43,7.52,5.79,S,Elite Eight
2018 Michigan St.,2018,Michigan St.,Big 10,3,8.42,7.26,6.02,S,Second Round
2023 Tennessee,2023,Tennessee,SEC,4,8.41,5.5,7.95,C,Sweet 16
2013 Gonzaga,2013,Gonzaga,WCC,1,8.41,7.44,6,S,Second Round
2022 Kentucky,2022,Kentucky,SEC,2,8.41,7.44,5.8,S,First Round
2017 Virginia,2017,Virginia,ACC,5,8.39,5.76,7.82,B,Second Round
2015 Gonzaga,2015,Gonzaga,WCC,2,8.39,7.71,5.6,S,Elite Eight
2019 Tennessee,2019,Tennessee,SEC,2,8.37,7.87,5.39,S,Sweet 16
2022 Tennessee,2022,Tennessee,SEC,3,8.37,5.58,7.78,S,Second Round
2022 Kansas,2022,Kansas,Big 12,1,8.36,7.4,5.85,S,Champion
2017 Duke,2017,Duke,ACC,2,8.34,7.73,5.42,S,Second Round
2008 Wisconsin,2008,Wisconsin,Big 10,3,8.34,5.04,8.57,S,Sweet 16
2009 Louisville,2009,Louisville,Big East,1,8.33,5.5,7.96,S,Elite Eight
2012 North Carolina,2012,North Carolina,ACC,1,8.33,7.45,5.72,S,Elite Eight
2019 Purdue,2019,Purdue,Big 10,3,8.33,7.73,5.38,S,Elite Eight
2015 North Carolina,2015,North Carolina,ACC,4,8.29,7.84,5.19,A,Sweet 16
2008 Georgetown,2008,Georgetown,Big East,2,8.27,5.57,7.7,A,Second Round
2010 Kentucky,2010,Kentucky,SEC,1,8.26,6.79,6.28,A,Elite Eight
2015 Utah,2015,Utah,Pac 12,5,8.25,5.91,7.38,B,Sweet 16
