year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,win,ovr_rating_bpi,ovr_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,reb%_off,ftr_off,to%_off,reb%_def,3p%_off,eff_off,ft%_def,eff_def,s_f,a_f
2008,East,First Round,1,2008 North Carolina,16,2008 Mount St. Mary's,1,20.7,29.18545,19.33398029,3.2,9.042927302,9.4,0.5,-3,-1.3,5.7,18.1709,-3.1,-6.0079,1,0
2008,East,First Round,8,2008 Indiana,9,2008 Arkansas,0,2.9,4.6386,5.215949973,-1.4,-4.277709676,4.7,6.2,-1.5,-8.7,1.8,14.0448,-3,-10.5337,0,0
2008,East,First Round,5,2008 Notre Dame,12,2008 George Mason,1,5.5,8.9174,14.33901408,-0.4,-8.541371857,8.8,7.5,-0.1,-1.2,8.2,14.8692,-5.8,-11.8408,0,0
2008,East,First Round,4,2008 Washington St.,13,2008 Winthrop,1,8.4,16.59767,4.095147475,17.9,8.569870601,-0.9,6,-6.2,-3.7,7.1,19.6989,12.6,-6.9188,0,0
2008,East,First Round,6,2008 Oklahoma,11,2008 Saint Joseph's,1,0.2,0.5093,6.447339365,0.8,-8.784225558,-0.6,5.5,-2,-2.5,-2.1,1.417,1.2,-15.3288,0,0
2008,East,First Round,3,2008 Louisville,14,2008 Boise St.,1,13.9,19.07761,12.86156552,0.8,4.223740639,3.9,2.8,0.2,0.5,-0.5,3.789,1.6,-18.9907,0,0
2008,East,First Round,7,2008 Butler,10,2008 South Alabama,1,6.4,6.6736,12.44252627,5.2,-9.515992217,-0.8,5.6,-3.6,-6.3,5,15.4366,-3.6,-17.8521,0,0
2008,East,First Round,2,2008 Tennessee,15,2008 American,1,15.3,20.6512,20.61300016,5.8,-3.540447768,6.8,-1.2,-2,2,1.3,11.564,-6.9,-9.2027,0,0
2008,Midwest,First Round,1,2008 Kansas,16,2008 Portland St.,1,19,28.12805,22.75789824,5.8,5.916394787,6.7,2.2,-2.8,-5,5.7,16.95,0.6,-19.5219,1,0
2008,Midwest,First Round,8,2008 UNLV,9,2008 Kent St.,1,1,-0.2081,2.069993965,4.2,-4.903309148,-6.5,-5.8,-8.4,-3.6,1.8,11.5687,-4,-11.0981,0,0
2008,Midwest,First Round,5,2008 Clemson,12,2008 Villanova,0,5.7,9.3842,8.243654957,-1.1,0.104033134,8.8,-15.5,-3.5,-0.2,1,9.732,-1.1,-9.5649,0,0
2008,Midwest,First Round,4,2008 Vanderbilt,13,2008 Siena,0,3.3,6.76251,11.59206387,-7.7,-7.217596543,-6.1,13.9,-4.3,1.9,2.4,9.844,0.4,-7.238,0,0
