game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20085516,5516,2008,Final Four,Final Four,1,2008 North Carolina,1,2008 Kansas,66,84,-18,150,0,-1.7,-5.8201,-0.024389228,1.969248932,9.6,6.358605213,3.432635489,-11.4,-13.3733727,-12.00301131,7.6,8.3,13.4,-3.9,-8.3,-12,-9.3,2.5,10.3,3.8,25.8929,7.7,-7.8,-6.7,-22.7779,-4.3,-1.53,0.32,1,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20085517,5517,2008,Final Four,Final Four,1,2008 Memphis,1,2008 UCLA,78,63,15,141,1,0.4,-1.1974,0.003260789,-1.841469884,0.4,1.264872958,-1.855124608,0.1,-1.524927904,2.995975892,5,12.9,11.9,-5.5,-9.8,-5.3,-9.9,4.5,6.5,0.8,21.1346,-8.5,-11.3,-4,-27.8785,-6.3,-0.06,0.31,9.77,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20085618,5618,2008,Final Four,Championship,1,2008 Kansas,1,2008 Memphis,75,68,7,143,1,2.6,4.5868,0.011901972,1.002158582,4.4,4.222927904,1.623884808,-1.7,-0.367605213,3.553931611,13.8,4.8,8.7,-4.6,-8.2,-7.8,-8.8,5.7,13.2,10.1,31.8535,3.5,-12.4,-1,-23.4579,8.1,0.17,-0.88,-2.06,-1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20095516,5516,2009,Final Four,Final Four,2,2009 Michigan St.,1,2009 Connecticut,82,73,9,155,1,-4.6,-5.2572,-0.032308004,-1.394952979,1.4,-2.798672816,-2.716880038,-6.2,-3.423384612,-3.375419193,7.6,22.5,9.6,3.8,-3.5,-9.7,-13.8,2.6,8.6,4,16.6363,-2.3,-3.5,-2.7,-16.8296,2,-3.48,-1.57,10.86,-1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20095618,5618,2009,Final Four,Championship,2,2009 Michigan St.,1,2009 North Carolina,72,89,-17,161,0,-7.5,-5.7745,-0.029345487,-0.331524057,6.6,6.447617002,4.636933914,-14.2,-11.47138461,-10.45026419,2.9,16.7,9,0.4,-5.1,-3.9,-14.4,3.7,4.4,0.3,11.9574,-0.8,-4.2,-5.3,-22.8376,-6.9,0.4,-0.54,8.98,-9.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20095517,5517,2009,Final Four,Final Four,3,2009 Villanova,1,2009 North Carolina,69,83,-14,152,0,-5.6,-6.8493,-0.037325242,-1.675156734,9.3,7.353617002,5.032540014,-15,-13.86693662,-11.92138315,4.3,17.6,3.7,-1.5,-5.3,-1.4,-9.8,5.1,5.1,1.8,14.0134,4.8,-6.5,-3.4,-21.4702,-8.5,-1.89,-0.17,1.6,-6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20105516,5516,2010,Final Four,Final Four,5,2010 Michigan St.,5,2010 Butler,50,52,-2,102,0,-0.3,0.268,0.005920234,-1.136315897,-3.1,2.033133594,1.211621487,2.8,-2.014128479,-0.577345671,5.2,0.4,13.4,-0.1,-5.5,-17.8,-2.8,0.2,5.8,2.4,15.6373,-1,-7.2,-1.7,-13.283,-3.3,1.68,0.42,9.12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20105517,5517,2010,Final Four,Final Four,2,2010 West Virginia,1,2010 Duke,57,78,-21,135,0,-6,-5.8167,-0.033476867,-0.390210258,-1.8,3.364600199,3.12083784,-4.1,-10.121642,-10.8467706,5.4,3.7,9.9,-3.8,-2.6,2.7,-9.2,4.5,4.4,5.4,20.5955,1.1,-0.2,-4.9,-16.9711,-7.3,-3.98,-0.66,2.39,-3.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20105618,5618,2010,Final Four,Championship,5,2010 Butler,1,2010 Duke,59,61,-2,120,0,-10,-11.5194,-0.075140354,-3.76980545,-6.5,-3.219399801,-4.42892186,-3.4,-9.061133594,-8.772263187,8.1,13.2,-1.3,-2.7,-4,-2.1,-13.3,4.7,8.1,6,17.5545,6.3,-0.5,-7.3,-21.8083,-7.2,-6.91,-2.91,-0.12,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20115516,5516,2011,Final Four,Final Four,4,2011 Kentucky,3,2011 Connecticut,55,56,-1,111,0,4.7,3.5685,0.046214383,-1.598370905,3.7,10.34930662,11.98711905,1,-6.682917362,-5.33329198,7.1,9.7,0.5,-2.2,-4.1,-3.6,-8.7,0.8,5.9,6.2,15.161,3,-5.9,0,-13.7187,-3.8,-1.83,0.88,-8.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
