game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20081101,1101,2008,East,First Round,1,2008 North Carolina,16,2008 Mount St. Mary's,113,74,39,187,1,20.7,29.18545,0.509807633,21.35726617,17.5,20.74396638,19.33398029,3.2,9.042927302,11.66990079,6,0.5,9.4,-3,-2.2,-13.2,-1.3,0.3,5.5,5.7,18.1709,5.1,-1.1,-3.5,-6.0079,-3.1,1.01,1.68,-0.9,7.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081102,1102,2008,East,First Round,8,2008 Indiana,9,2008 Arkansas,72,86,-14,158,0,2.9,4.6386,0.046076849,4.216333459,4.4,8.914141857,5.215949973,-1.4,-4.277709676,-0.773789393,5,6.2,4.7,-1.5,-4.8,-7.1,-8.7,-2.2,6.2,1.8,14.0448,6.3,-7.2,-0.1,-10.5337,-3,-3.48,0.03,-6.95,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081103,1103,2008,East,First Round,5,2008 Notre Dame,12,2008 George Mason,68,50,18,118,1,5.5,8.9174,0.142182274,7.948582029,5.8,17.52760525,14.33901408,-0.4,-8.541371857,-4.260959342,5.5,7.5,8.8,-0.1,-5.9,-17.5,-1.2,-1.1,2,8.2,14.8692,1.7,-8.1,-1.1,-11.8408,-5.8,4.64,0.95,-1.36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20081104,1104,2008,East,First Round,4,2008 Washington St.,13,2008 Winthrop,71,40,31,111,1,8.4,16.59767,0.216638459,9.156334504,-9.4,8.030960193,4.095147475,17.9,8.569870601,10.9203972,8.3,6,-0.9,-6.2,-2.3,-7.5,-3.7,2.2,7.1,7.1,19.6989,3.7,-0.8,-3.7,-6.9188,12.6,4.17,1.94,-9.1,-4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20081105,1105,2008,East,First Round,6,2008 Oklahoma,11,2008 Saint Joseph's,72,64,8,136,1,0.2,0.5093,0.026038278,4.042366879,-0.6,9.625769311,6.447339365,0.8,-8.784225558,-4.896504477,-0.2,5.5,-0.6,-2,-8.4,-9.6,-2.5,0.9,1.8,-2.1,1.417,-0.3,-7.4,-6.6,-15.3288,1.2,0.03,-0.5,10.07,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081106,1106,2008,East,First Round,3,2008 Louisville,14,2008 Boise St.,79,61,18,140,1,13.9,19.07761,0.336610567,7.125852541,13.2,16.11956617,12.86156552,0.8,4.223740639,8.158973644,2.1,2.8,3.9,0.2,-13.5,-7.1,0.5,0.4,3.6,-0.5,3.789,-5.6,-13.8,-8.6,-18.9907,1.6,0.97,-0.06,8.55,-5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20081107,1107,2008,East,First Round,7,2008 Butler,10,2008 South Alabama,81,61,20,142,1,6.4,6.6736,0.09561856,4.983020879,1.2,16.29276012,12.44252627,5.2,-9.515992217,-5.510001623,6.2,5.6,-0.8,-3.6,-6,-14.5,-6.3,2.2,4.8,5,15.4366,7.3,-5.3,-4.9,-17.8521,-3.6,-2.07,-0.09,2.25,-6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081108,1108,2008,East,First Round,2,2008 Tennessee,15,2008 American,72,57,15,129,1,15.3,20.6512,0.420704961,15.00971816,9.5,23.99772574,20.61300016,5.8,-3.540447768,3.423209964,5.3,-1.2,6.8,-2,-3.3,-2.7,2,2.5,7.1,1.3,11.564,-8.4,4.3,-9.9,-9.2027,-6.9,2.25,1.9,7.98,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081201,1201,2008,Midwest,First Round,1,2008 Kansas,16,2008 Portland St.,85,61,24,146,1,19,28.12805,0.386720403,13.31282912,13.3,23.94240784,22.75789824,5.8,5.916394787,11.53000101,6.3,2.2,6.7,-2.8,-9.9,-7.4,-5,2.2,5.4,5.7,16.95,-1.7,-10.3,-5.9,-19.5219,0.6,1.27,1.66,-8.27,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081202,1202,2008,Midwest,First Round,8,2008 UNLV,9,2008 Kent St.,71,58,13,129,1,1,-0.2081,0.028388612,-0.100551237,-3.2,4.513291807,2.069993965,4.2,-4.903309148,-0.24640916,2.6,-5.8,-6.5,-8.4,-6.8,-9.2,-3.6,0,2.1,1.8,11.5687,6.8,-4.7,-7.7,-11.0981,-4,0.71,0.59,-5.56,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081203,1203,2008,Midwest,First Round,5,2008 Clemson,12,2008 Villanova,69,75,-6,144,0,5.7,9.3842,0.122162332,4.059486414,6.8,9.850194359,8.243654957,-1.1,0.104033134,2.810993459,0.7,-15.5,8.8,-3.5,-1.2,-5.3,-0.2,4.2,1.2,1,9.732,-6.1,1.4,-4.4,-9.5649,-1.1,0.65,0.16,-5.02,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081204,1204,2008,Midwest,First Round,4,2008 Vanderbilt,13,2008 Siena,62,83,-21,145,0,3.3,6.76251,0.159957621,7.548440385,11,13.96991664,11.59206387,-7.7,-7.217596543,-3.465457285,2.5,13.9,-6.1,-4.3,-1.1,-3.4,1.9,5.2,1.4,2.4,9.844,9.8,0,-2.8,-7.238,0.4,4.04,2.06,0.71,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20081205,1205,2008,Midwest,First Round,6,2008 USC,11,2008 Kansas St.,67,80,-13,147,0,2.4,1.0745,-0.010839217,2.601870173,3.8,4.833599111,-0.207970184,-1.5,-3.126134581,-1.015005836,5.5,0.8,0.4,-0.5,-5.2,-10,-7.7,-0.8,7.2,1.6,8.9224,3,-6.3,-2,-13.2561,-0.4,-0.41,0.39,-11.51,-6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081206,1206,2008,Midwest,First Round,3,2008 Wisconsin,14,2008 Cal St. Fullerton,71,56,15,127,1,11.8,18.53611,0.279957658,11.48854484,7,17.56028892,14.39014544,4.8,3.020380663,8.539509193,-2.3,6.8,6.6,-4.2,-11.4,-7.2,-4.6,3.9,-2,-1.6,8.163,3.7,-11.4,-7.4,-26.9527,-2.5,7.92,3.45,-9.14,-10.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081207,1207,2008,Midwest,First Round,7,2008 Gonzaga,10,2008 Davidson,76,82,-6,158,0,-3.8,-1.2231,0.004426083,0.627941922,2.8,7.272216703,3.313228722,-6.6,-8.672038807,-2.826062405,5.9,2.5,6.9,-3.6,-9.1,6.5,-3,4,7.2,2.7,18.2849,7.4,-11,-4,-21.4516,-8.4,3.53,1.17,2.06,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081208,1208,2008,Midwest,First Round,2,2008 Georgetown,15,2008 UMBC,66,47,19,113,1,14.9,20.88333,0.369744516,10.62831127,6.5,23.79970927,20.72476242,8.4,-2.657184828,2.522760271,5.6,5.6,-0.4,3.4,-10.3,2,0.9,6.8,6.9,1.9,5.594,-7.5,-9,-8.9,-21.2269,-6.3,6.01,2.79,12.23,-2.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081301,1301,2008,South,First Round,1,2008 Memphis,16,2008 UT Arlington,87,63,24,150,1,20.8,31.37541,0.531739262,15.93347007,13.7,17.73752555,14.46675194,7.2,16.0700721,20.29193827,5.9,0.7,7.3,-3.6,-10,-8.8,-2.5,-0.8,7,2.8,15.2638,-7.5,-11.1,-4.9,-15.0565,-0.3,4.2,2.57,-2.79,-0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081302,1302,2008,South,First Round,8,2008 Mississippi St.,9,2008 Oregon,76,69,7,145,1,1.1,-0.838,0.013651631,-0.218046351,6.6,9.913400998,7.531803124,-5.5,-10.03572597,-7.268463586,2.1,5,4,5.5,-13.9,-9.6,0.3,-0.4,3.4,-0.2,-2.158,-4.9,-14.5,-8.1,-18.8436,0.3,-1.99,0.94,-3.69,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081303,1303,2008,South,First Round,5,2008 Michigan St.,12,2008 Temple,72,61,11,133,1,6.6,8.4449,0.132443017,6.814608967,3.5,15.70332575,12.82361313,3.1,-6.945834765,-2.480198653,3.5,2.4,7.5,1.9,-8.4,-3.1,2.9,0.2,5.2,1.4,7.912,1.2,-8.4,-5.5,-12.2497,-8.4,2.02,-0.24,5.64,-1.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20081304,1304,2008,South,First Round,4,2008 Pittsburgh,13,2008 Oral Roberts,82,63,19,145,1,7.7,8.3793,0.137396185,6.199790339,0.7,9.671225477,7.858930429,6.9,-1.617713307,2.115819432,6.6,6.7,8.8,-2.6,-2.1,-12.2,0.6,1.6,8.7,0.7,17.0014,-9.8,-0.4,-3.9,-5.995,2.2,-3.6,-1.29,-3.03,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20081305,1305,2008,South,First Round,6,2008 Marquette,11,2008 Kentucky,74,66,8,140,1,6.8,12.14245,0.148954519,4.936446299,1.9,10.52610752,7.183156561,4.9,2.298904142,5.531191247,5.8,-4.1,4.5,-0.9,-6.7,-0.4,0.6,0.5,6.1,3.5,11.6704,-0.2,-4.9,-7.3,-9.9189,-5.6,-1.59,-2.04,1.88,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
