game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def,height_eff,size,bench,adj_tempo,s_s,s_a,s_b,s_c,s_d,s_f,a_s,a_a,a_b,a_c,a_d,a_f,b_s,b_a,b_b,b_c,b_d,b_f,c_s,c_a,c_b,c_c,c_d,c_f,d_s,d_a,d_b,d_c,d_d,d_f,f_s,f_a,f_b,f_c,f_d,f_f
20083113,3113,2008,East,Sweet 16,1,2008 North Carolina,4,2008 Washington St.,68,47,21,115,1,5.9,4.2402,0.031319504,6.988816481,6,12.4229294,11.18756821,-0.1,-8.212372698,-5.245987009,4.7,10.3,12.3,-3.2,-6.4,-14.3,0.6,4,4.9,4.1,20.4858,3,-5.9,-4.9,-17.1199,-6.8,-1.96,-0.4,8.98,16.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084115,4115,2008,East,Elite Eight,1,2008 North Carolina,3,2008 Louisville,83,73,10,156,1,4.1,4.9466,0.021480865,7.155627336,10.1,7.857259361,5.838781356,-6.1,-3.768372698,-1.363971109,8.6,5.9,11.7,-2.4,-4,-10.9,-4.7,1.6,8.9,6.8,24.2197,7.2,-5.5,-1,-11.7709,1,-0.63,0.57,-2.34,8.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083113,3113,2008,East,Sweet 16,3,2008 Louisville,2,2008 Tennessee,79,60,19,139,1,0,0.8608,0.000440184,-4.453270017,4.3,7.060447768,1.867069336,-4.2,-4.958259361,-1.895481956,2.8,-3,-0.9,-5,-9,-3.6,-6.3,3.7,1.7,3.2,8.8067,-1.9,-9.4,-5.4,-22.0997,2.8,-0.21,-0.25,-1.12,-5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083213,3213,2008,Midwest,Sweet 16,1,2008 Kansas,12,2008 Villanova,72,57,15,129,1,12.9,20.9836,0.172373466,9.584398582,9,17.18119436,15.65860836,4,5.424394787,9.139747511,5,-8.4,6.6,-5.2,-4.2,-7.6,-7.9,2.5,6.4,2.9,17.386,2.4,-6.8,-0.2,-15.6889,-4.6,2.14,-0.12,-7.91,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084215,4215,2008,Midwest,Elite Eight,1,2008 Kansas,10,2008 Davidson,59,57,2,116,1,7.1,13.4115,0.086792364,8.418376936,7.1,14.4842167,12.21971112,0.1,0.271394787,6.041598811,7.9,-0.2,10.4,-5.4,-9.6,5.4,-3.6,5.2,8.4,5.4,25.0719,6.7,-13.7,-2.1,-23.9979,-5.2,1.35,-0.21,-1.43,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083214,3214,2008,Midwest,Sweet 16,3,2008 Wisconsin,10,2008 Davidson,56,73,-17,129,0,1.7,6.8575,0.06613215,6.759635708,-3.2,6.670216703,3.463285022,4.9,1.942380663,6.964354393,2.2,1.6,8.6,-4.7,-11.3,0,-4.1,4.5,2.8,1.4,16.0369,6.8,-13.3,-5,-26.7547,-4.8,2.22,0.23,-8.06,-6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083313,3313,2008,South,Sweet 16,1,2008 Memphis,5,2008 Michigan St.,92,74,18,166,1,5.7,8.4965,0.052455918,3.816909176,3.5,8.944834765,5.130554053,2.2,1.766072096,5.344547492,6.9,6.4,6.4,-2.1,-10,-1.4,-10.5,2.1,8.1,3.3,16.0937,-6.1,-9.8,-7.5,-24.9715,-5.8,-0.54,1.1,1.47,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084315,4315,2008,South,Elite Eight,1,2008 Memphis,2,2008 Texas,85,67,18,152,1,5.6,4.5266,0.027803305,0.522484447,7,9.327694843,7.075673158,-1.4,-2.546927904,-0.645156208,6.9,8.9,4.1,-1.3,-8.9,0.1,-6.8,9.2,9.7,1.8,14.4154,-7.5,-7.1,-7.9,-28.3095,-1.6,0.24,2.37,15.21,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083314,3314,2008,South,Sweet 16,3,2008 Stanford,2,2008 Texas,62,82,-20,144,0,0.4,-0.9152,-0.008518162,-1.668257404,1.2,7.960694843,5.307634658,-0.8,-7.890666844,-7.152807195,3.7,10.7,5.5,0.4,-7.4,1.4,-7.3,4,4.6,2.8,10.4354,2.5,-7.1,-4.2,-20.7657,-2.6,3.46,2.54,18.52,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083413,3413,2008,West,Sweet 16,1,2008 UCLA,12,2008 Western Kentucky,88,78,10,166,1,10.7,16.5107,0.15176468,10.54738055,7.3,15.6539061,11.66400037,3.4,2.354127042,6.461426608,5.4,-9.7,6.4,-6.4,-5.6,-10.5,-11.1,2.5,6.9,1.3,19.2072,3.7,-4.8,-4.4,-19.2706,-2.5,2.92,1.16,-17.78,-3.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20084415,4415,2008,West,Elite Eight,1,2008 UCLA,3,2008 Xavier,76,57,19,133,1,4.6,8.23,0.039267145,6.104426252,1.5,12.42892354,8.042594441,3,-2.982872958,-0.077911892,5.5,6.5,9.7,-1.2,-7,-16,-10.6,2.4,8.3,0.3,17.7919,6.3,-6,-5,-23.5706,-6.9,1.32,1.09,-7.6,-0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20083414,3414,2008,West,Sweet 16,3,2008 Xavier,7,2008 West Virginia,79,75,4,154,1,-2.3,2.2053,0.014128666,2.014548567,0.2,9.381226548,6.72444052,-2.5,-7.263923545,-4.804236341,7.3,2.8,5.1,-3,-4.8,-5.6,-4.6,3.7,7.7,3.8,20.0931,10.2,-6,-2.3,-15.4829,-0.6,-0.58,-1.44,7.04,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
