team_year,year,team,conference,logo,bpi,kenpom,miya,torvik
2024 Abilene Christian,2024,Abilene Christian,WAC,,Abilene Christian Wildcats,Abilene Christian,Abilene Christian,Abilene Christian
2024 Air Force,2024,Air Force,MWC,,Air Force Falcons,Air Force,Air Force,Air Force
2024 Akron,2024,Akron,MAC,,Akron Zips,Akron,Akron,Akron
2024 Alabama A&M,2024,Alabama A&M,SWAC,,Alabama A&M Bulldogs,Alabama A&M,Alabama A&M,Alabama A&M
2024 Alabama,2024,Alabama,SEC,,Alabama Crimson Tide,Alabama,Alabama,Alabama
2024 Alabama St.,2024,Alabama St.,SWAC,,Alabama State Hornets,Alabama St.,Alabama State,Alabama St.
2024 Alcorn St.,2024,Alcorn St.,SWAC,,Alcorn State Braves,Alcorn St.,Alcorn State,Alcorn St.
2024 American,2024,American,Patriot,,American University Eagles,American,American,American
2024 Appalachian St.,2024,Appalachian St.,Sun Belt,,Appalachian State Mountaineers,Appalachian St.,Appalachian State,Appalachian St.
2024 Arizona St.,2024,Arizona St.,Pac 12,,Arizona State Sun Devils,Arizona St.,Arizona State,Arizona St.
2024 Arizona,2024,Arizona,Pac 12,,Arizona Wildcats,Arizona,Arizona,Arizona
2024 Arkansas,2024,Arkansas,SEC,,Arkansas Razorbacks,Arkansas,Arkansas,Arkansas
2024 Arkansas St.,2024,Arkansas St.,Sun Belt,,Arkansas State Red Wolves,Arkansas St.,Arkansas State,Arkansas St.
2024 Arkansas Pine Bluff,2024,Arkansas Pine Bluff,SWAC,,Arkansas-Pine Bluff Golden Lions,Arkansas Pine Bluff,Arkansas-Pine Bluff,Arkansas Pine Bluff
2024 Army,2024,Army,Patriot,,Army Black Knights,Army,Army,Army
2024 Auburn,2024,Auburn,SEC,,Auburn Tigers,Auburn,Auburn,Auburn
2024 Austin Peay,2024,Austin Peay,ASUN,,Austin Peay Governors,Austin Peay,Austin Peay,Austin Peay
2024 Ball St.,2024,Ball St.,MAC,,Ball State Cardinals,Ball St.,Ball State,Ball St.
2024 Baylor,2024,Baylor,Big 12,,Baylor Bears,Baylor,Baylor,Baylor
2024 Bellarmine,2024,Bellarmine,ASUN,,Bellarmine Knights,Bellarmine,Bellarmine,Bellarmine
2024 Belmont,2024,Belmont,MVC,,Belmont Bruins,Belmont,Belmont,Belmont
2024 Bethune Cookman,2024,Bethune Cookman,SWAC,,Bethune-Cookman Wildcats,Bethune Cookman,Bethune-Cookman,Bethune Cookman
2024 Binghamton,2024,Binghamton,America East,,Binghamton Bearcats,Binghamton,Binghamton,Binghamton
2024 Boise St.,2024,Boise St.,MWC,,Boise State Broncos,Boise St.,Boise State,Boise St.
2024 Boston College,2024,Boston College,ACC,,Boston College Eagles,Boston College,Boston College,Boston College
2024 Boston University,2024,Boston University,Patriot,,Boston University Terriers,Boston University,Boston University,Boston University
2024 Bowling Green,2024,Bowling Green,MAC,,Bowling Green Falcons,Bowling Green,Bowling Green,Bowling Green
2024 Bradley,2024,Bradley,MVC,,Bradley Braves,Bradley,Bradley,Bradley
2024 Brown,2024,Brown,Ivy,,Brown Bears,Brown,Brown,Brown
2024 Bryant,2024,Bryant,America East,,Bryant Bulldogs,Bryant,Bryant,Bryant
2024 Bucknell,2024,Bucknell,Patriot,,Bucknell Bison,Bucknell,Bucknell,Bucknell
2024 Buffalo,2024,Buffalo,MAC,,Buffalo Bulls,Buffalo,Buffalo,Buffalo
2024 Butler,2024,Butler,Big East,,Butler Bulldogs,Butler,Butler,Butler
2024 BYU,2024,BYU,Big 12,,BYU Cougars,BYU,BYU,BYU
2024 Cal Poly,2024,Cal Poly,Big West,,Cal Poly Mustangs,Cal Poly,Cal Poly,Cal Poly
2024 Cal St. Bakersfield,2024,Cal St. Bakersfield,Big West,,Cal State Bakersfield Roadrunners,Cal St. Bakersfield,Cal State Bakersfield,Cal St. Bakersfield
2024 Cal St. Fullerton,2024,Cal St. Fullerton,Big West,,Cal State Fullerton Titans,Cal St. Fullerton,Cal State Fullerton,Cal St. Fullerton
2024 Cal St. Northridge,2024,Cal St. Northridge,Big West,,Cal State Northridge Matadors,Cal St. Northridge,Cal State Northridge,Cal St. Northridge
2024 Cal Baptist,2024,Cal Baptist,WAC,,California Baptist Lancers,Cal Baptist,California Baptist,Cal Baptist
2024 California,2024,California,Pac 12,,California Golden Bears,California,California,California
2024 Campbell,2024,Campbell,CAA,,Campbell Fighting Camels,Campbell,Campbell,Campbell
2024 Canisius,2024,Canisius,MAAC,,Canisius Golden Griffins,Canisius,Canisius,Canisius
2024 Central Arkansas,2024,Central Arkansas,ASUN,,Central Arkansas Bears,Central Arkansas,Central Arkansas,Central Arkansas
2024 Central Connecticut,2024,Central Connecticut,NEC,,Central Connecticut Blue Devils,Central Connecticut,Central Connecticut,Central Connecticut
2024 Central Michigan,2024,Central Michigan,MAC,,Central Michigan Chippewas,Central Michigan,Central Michigan,Central Michigan
2024 Charleston,2024,Charleston,CAA,,Charleston Cougars,Charleston,College of Charleston,College of Charleston
2024 Charleston Southern,2024,Charleston Southern,Big South,,Charleston Southern Buccaneers,Charleston Southern,Charleston Southern,Charleston Southern
2024 Charlotte,2024,Charlotte,AAC,,Charlotte 49ers,Charlotte,Charlotte,Charlotte
2024 Chattanooga,2024,Chattanooga,Southern,,Chattanooga Mocs,Chattanooga,Chattanooga,Chattanooga
2024 Chicago St.,2024,Chicago St.,Independent,,Chicago State Cougars,Chicago St.,Chicago State,Chicago St.
2024 Cincinnati,2024,Cincinnati,Big 12,,Cincinnati Bearcats,Cincinnati,Cincinnati,Cincinnati
2024 Clemson,2024,Clemson,ACC,,Clemson Tigers,Clemson,Clemson,Clemson
2024 Cleveland St.,2024,Cleveland St.,Horizon,,Cleveland State Vikings,Cleveland St.,Cleveland State,Cleveland St.
2024 Coastal Carolina,2024,Coastal Carolina,Sun Belt,,Coastal Carolina Chanticleers,Coastal Carolina,Coastal Carolina,Coastal Carolina
2024 Colgate,2024,Colgate,Patriot,,Colgate Raiders,Colgate,Colgate,Colgate
2024 Colorado,2024,Colorado,Pac 12,,Colorado Buffaloes,Colorado,Colorado,Colorado
2024 Colorado St.,2024,Colorado St.,MWC,,Colorado State Rams,Colorado St.,Colorado State,Colorado St.
2024 Columbia,2024,Columbia,Ivy,,Columbia Lions,Columbia,Columbia,Columbia
2024 Coppin St.,2024,Coppin St.,MEAC,,Coppin State Eagles,Coppin St.,Coppin State,Coppin St.
2024 Cornell,2024,Cornell,Ivy,,Cornell Big Red,Cornell,Cornell,Cornell
2024 Creighton,2024,Creighton,Big East,,Creighton Bluejays,Creighton,Creighton,Creighton
2024 Dartmouth,2024,Dartmouth,Ivy,,Dartmouth Big Green,Dartmouth,Dartmouth,Dartmouth
2024 Davidson,2024,Davidson,A10,,Davidson Wildcats,Davidson,Davidson,Davidson
2024 Dayton,2024,Dayton,A10,,Dayton Flyers,Dayton,Dayton,Dayton
2024 Delaware,2024,Delaware,CAA,,Delaware Blue Hens,Delaware,Delaware,Delaware
2024 Delaware St.,2024,Delaware St.,MEAC,,Delaware State Hornets,Delaware St.,Delaware State,Delaware St.
2024 Denver,2024,Denver,Summit,,Denver Pioneers,Denver,Denver,Denver
2024 DePaul,2024,DePaul,Big East,,DePaul Blue Demons,DePaul,DePaul,DePaul
