game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20081101,1101,2008,East,First Round,1,2008 North Carolina,16,2008 Mount St. Mary's,113,74,39,187,1
20081108,1108,2008,East,First Round,2,2008 Tennessee,15,2008 American,72,57,15,129,1
20081106,1106,2008,East,First Round,3,2008 Louisville,14,2008 Boise St.,79,61,18,140,1
20081104,1104,2008,East,First Round,4,2008 Washington St.,13,2008 Winthrop,71,40,31,111,1
20081103,1103,2008,East,First Round,5,2008 Notre Dame,12,2008 George Mason,68,50,18,118,1
20081105,1105,2008,East,First Round,6,2008 Oklahoma,11,2008 Saint Joseph's,72,64,8,136,1
20081107,1107,2008,East,First Round,7,2008 Butler,10,2008 South Alabama,81,61,20,142,1
20081102,1102,2008,East,First Round,8,2008 Indiana,9,2008 Arkansas,72,86,-14,158,0
20081201,1201,2008,Midwest,First Round,1,2008 Kansas,16,2008 Portland St.,85,61,24,146,1
20081208,1208,2008,Midwest,First Round,2,2008 Georgetown,15,2008 UMBC,66,47,19,113,1
20081206,1206,2008,Midwest,First Round,3,2008 Wisconsin,14,2008 Cal St. Fullerton,71,56,15,127,1
20081204,1204,2008,Midwest,First Round,4,2008 Vanderbilt,13,2008 Siena,62,83,-21,145,0
20081203,1203,2008,Midwest,First Round,5,2008 Clemson,12,2008 Villanova,69,75,-6,144,0
20081205,1205,2008,Midwest,First Round,6,2008 USC,11,2008 Kansas St.,67,80,-13,147,0
20081207,1207,2008,Midwest,First Round,7,2008 Gonzaga,10,2008 Davidson,76,82,-6,158,0
20081202,1202,2008,Midwest,First Round,8,2008 UNLV,9,2008 Kent St.,71,58,13,129,1
20081301,1301,2008,South,First Round,1,2008 Memphis,16,2008 UT Arlington,87,63,24,150,1
20081308,1308,2008,South,First Round,2,2008 Texas,15,2008 Austin Peay,74,54,20,128,1
20081306,1306,2008,South,First Round,3,2008 Stanford,14,2008 Cornell,77,53,24,130,1
20081304,1304,2008,South,First Round,4,2008 Pittsburgh,13,2008 Oral Roberts,82,63,19,145,1
20081303,1303,2008,South,First Round,5,2008 Michigan St.,12,2008 Temple,72,61,11,133,1
20081305,1305,2008,South,First Round,6,2008 Marquette,11,2008 Kentucky,74,66,8,140,1
20081307,1307,2008,South,First Round,7,2008 Miami FL,10,2008 Saint Mary's,78,64,14,142,1
20081302,1302,2008,South,First Round,8,2008 Mississippi St.,9,2008 Oregon,76,69,7,145,1
20081401,1401,2008,West,First Round,1,2008 UCLA,16,2008 Mississippi Valley St.,70,29,41,99,1
20081408,1408,2008,West,First Round,2,2008 Duke,15,2008 Belmont,71,70,1,141,1
20081406,1406,2008,West,First Round,3,2008 Xavier,14,2008 Georgia,73,61,12,134,1
20081404,1404,2008,West,First Round,4,2008 Connecticut,13,2008 San Diego,69,70,-1,139,0
20081403,1403,2008,West,First Round,5,2008 Drake,12,2008 Western Kentucky,99,101,-2,200,0
20081405,1405,2008,West,First Round,6,2008 Purdue,11,2008 Baylor,90,79,11,169,1
20081407,1407,2008,West,First Round,7,2008 West Virginia,10,2008 Arizona,75,65,10,140,1
20081402,1402,2008,West,First Round,8,2008 BYU,9,2008 Texas A&M,62,67,-5,129,0
20082109,2109,2008,East,Second Round,1,2008 North Carolina,9,2008 Arkanas,108,77,31,185,1
20082110,2110,2008,East,Second Round,5,2008 Notre Dame,4,2008 Washington St.,41,61,-20,102,0
20082111,2111,2008,East,Second Round,6,2008 Oklahoma,3,2008 Louisville,48,78,-30,126,0
20082112,2112,2008,East,Second Round,7,2008 Butler,2,2008 Tennessee,71,76,-5,147,0
20082209,2209,2008,Midwest,Second Round,1,2008 Kansas,8,2008 UNLV,75,56,19,131,1
20082210,2210,2008,Midwest,Second Round,12,2008 Villanova,13,2008 Siena,84,72,12,156,1
20082211,2211,2008,Midwest,Second Round,11,2008 Kansas St.,3,2008 Wisconsin,55,72,-17,127,0
20082212,2212,2008,Midwest,Second Round,10,2008 Davidson,2,2008 Georgetown,74,70,4,144,1
20082309,2309,2008,South,Second Round,1,2008 Memphis,8,2008 Mississippi St.,77,74,3,151,1
20082310,2310,2008,South,Second Round,5,2008 Michigan St.,4,2008 Pittsburgh,65,54,11,119,1
20082311,2311,2008,South,Second Round,6,2008 Marquette,3,2008 Stanford,81,82,-1,163,0
20082312,2312,2008,South,Second Round,7,2008 Miami FL,2,2008 Texas,72,75,-3,147,0
20082409,2409,2008,West,Second Round,1,2008 UCLA,9,2008 Texas A&M,51,49,2,100,1
20082410,2410,2008,West,Second Round,12,2008 Western Kentucky,13,2008 San Diego,72,63,9,135,1
20082411,2411,2008,West,Second Round,6,2008 Purdue,3,2008 Xavier,78,85,-7,163,0
20082412,2412,2008,West,Second Round,7,2008 West Virginia,2,2008 Duke,73,67,6,140,1
20083113,3113,2008,East,Sweet 16,1,2008 North Carolina,4,2008 Washington St.,68,47,21,115,1
20083113,3113,2008,East,Sweet 16,3,2008 Louisville,2,2008 Tennessee,79,60,19,139,1
