game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20082109,2109,2008,East,Second Round,1,2008 North Carolina,9,2008 Arkansas,108,77,31,185,1
20082110,2110,2008,East,Second Round,5,2008 Notre Dame,4,2008 Washington St.,41,61,-20,102,0
20082111,2111,2008,East,Second Round,6,2008 Oklahoma,3,2008 Louisville,48,78,-30,126,0
20082112,2112,2008,East,Second Round,7,2008 Butler,2,2008 Tennessee,71,76,-5,147,0
20082209,2209,2008,Midwest,Second Round,1,2008 Kansas,8,2008 UNLV,75,56,19,131,1
20082210,2210,2008,Midwest,Second Round,12,2008 Villanova,13,2008 Siena,84,72,12,156,1
20082211,2211,2008,Midwest,Second Round,11,2008 Kansas St.,3,2008 Wisconsin,55,72,-17,127,0
20082212,2212,2008,Midwest,Second Round,10,2008 Davidson,2,2008 Georgetown,74,70,4,144,1
20082309,2309,2008,South,Second Round,1,2008 Memphis,8,2008 Mississippi St.,77,74,3,151,1
20082310,2310,2008,South,Second Round,5,2008 Michigan St.,4,2008 Pittsburgh,65,54,11,119,1
20082311,2311,2008,South,Second Round,6,2008 Marquette,3,2008 Stanford,81,82,-1,163,0
20082312,2312,2008,South,Second Round,7,2008 Miami FL,2,2008 Texas,72,75,-3,147,0
20082409,2409,2008,West,Second Round,1,2008 UCLA,9,2008 Texas A&M,51,49,2,100,1
20082410,2410,2008,West,Second Round,12,2008 Western Kentucky,13,2008 San Diego,72,63,9,135,1
20082411,2411,2008,West,Second Round,6,2008 Purdue,3,2008 Xavier,78,85,-7,163,0
20082412,2412,2008,West,Second Round,7,2008 West Virginia,2,2008 Duke,73,67,6,140,1
20092109,2109,2009,Midwest,Second Round,1,2009 Louisville,9,2009 Siena,79,72,7,151,1
20092110,2110,2009,Midwest,Second Round,12,2009 Arizona,13,2009 Cleveland St.,71,57,14,128,1
20092111,2111,2009,Midwest,Second Round,11,2009 Dayton,3,2009 Kansas,43,60,-17,103,0
20092112,2112,2009,Midwest,Second Round,10,2009 USC,2,2009 Michigan St.,69,74,-5,143,0
20092209,2209,2009,West,Second Round,1,2009 Connecticut,9,2009 Texas A&M,92,66,26,158,1
20092210,2210,2009,West,Second Round,5,2009 Purdue,4,2009 Washington,76,74,2,150,1
20092211,2211,2009,West,Second Round,6,2009 Marquette,3,2009 Missouri,79,83,-4,162,0
20092212,2212,2009,West,Second Round,10,2009 Maryland,2,2009 Memphis,70,89,-19,159,0
20092309,2309,2009,East,Second Round,1,2009 Pittsburgh,8,2009 Oklahoma St.,84,76,8,160,1
20092310,2310,2009,East,Second Round,12,2009 Wisconsin,4,2009 Xavier,49,60,-11,109,0
20092311,2311,2009,East,Second Round,6,2009 UCLA,3,2009 Villanova,69,89,-20,158,0
20092312,2312,2009,East,Second Round,7,2009 Texas,2,2009 Duke,69,74,-5,143,0
20092409,2409,2009,South,Second Round,1,2009 North Carolina,8,2009 LSU,84,70,14,154,1
20092410,2410,2009,South,Second Round,12,2009 Western Kentucky,4,2009 Gonzaga,81,83,-2,164,0
20092411,2411,2009,South,Second Round,6,2009 Arizona St.,3,2009 Syracuse,67,78,-11,145,0
20092412,2412,2009,South,Second Round,10,2009 Michigan,2,2009 Oklahoma,63,73,-10,136,0
20102109,2109,2010,Midwest,Second Round,1,2010 Kansas,9,2010 Northern Iowa,67,69,-2,136,0
20102110,2110,2010,Midwest,Second Round,5,2010 Michigan St.,4,2010 Maryland,85,83,2,168,1
20102111,2111,2010,Midwest,Second Round,6,2010 Tennessee,14,2010 Ohio,83,68,15,151,1
20102112,2112,2010,Midwest,Second Round,10,2010 Georgia Tech,2,2010 Ohio St.,66,75,-9,141,0
20102209,2209,2010,West,Second Round,1,2010 Syracuse,8,2010 Gonzaga,87,65,22,152,1
20102210,2210,2010,West,Second Round,5,2010 Butler,13,2010 Murray St.,54,52,2,106,1
20102211,2211,2010,West,Second Round,6,2010 Xavier,3,2010 Pittsburgh,71,68,3,139,1
20102212,2212,2010,West,Second Round,7,2010 BYU,2,2010 Kansas St.,72,84,-12,156,0
20102309,2309,2010,East,Second Round,1,2010 Kentucky,9,2010 Wake Forest,90,60,30,150,1
20102310,2310,2010,East,Second Round,12,2010 Cornell,4,2010 Wisconsin,87,69,18,156,1
20102311,2311,2010,East,Second Round,11,2010 Washington,3,2010 New Mexico,82,64,18,146,1
20102312,2312,2010,East,Second Round,10,2010 Missouri,2,2010 West Virginia,59,68,-9,127,0
20102409,2409,2010,South,Second Round,1,2010 Duke,8,2010 California,68,53,15,121,1
20102410,2410,2010,South,Second Round,5,2010 Texas A&M,4,2010 Purdue,61,63,-2,124,0
20102411,2411,2010,South,Second Round,11,2010 Old Dominion,3,2010 Baylor,68,76,-8,144,0
20102412,2412,2010,South,Second Round,10,2010 Saint Mary's,2,2010 Villanova,75,68,7,143,1
20112109,2109,2011,East,Second Round,1,2011 Ohio St.,8,2011 George Mason,98,66,32,164,1
20112110,2110,2011,East,Second Round,5,2011 West Virginia,4,2011 Kentucky,63,71,-8,134,0
20112111,2111,2011,East,Second Round,11,2011 Marquette,3,2011 Syracuse,66,62,4,128,1
20112112,2112,2011,East,Second Round,7,2011 Washington,2,2011 North Carolina,83,86,-3,169,0
20112209,2209,2011,West,Second Round,1,2011 Duke,8,2011 Michigan,73,71,2,144,1
20112210,2210,2011,West,Second Round,5,2011 Arizona,4,2011 Texas,70,69,1,139,1
20112211,2211,2011,West,Second Round,6,2011 Cincinnati,3,2011 Connecticut,58,69,-11,127,0
20112212,2212,2011,West,Second Round,7,2011 Temple,2,2011 San Diego St.,64,71,-7,135,0
20112309,2309,2011,Southwest,Second Round,1,2011 Kansas,9,2011 Illinois,73,59,14,132,1
20112310,2310,2011,Southwest,Second Round,12,2011 Richmond,13,2011 Morehead St.,65,48,17,113,1
20112311,2311,2011,Southwest,Second Round,11,2011 VCU,3,2011 Purdue,94,76,18,170,1
20112312,2312,2011,Southwest,Second Round,10,2011 Florida St.,2,2011 Notre Dame,71,57,14,128,1
20112409,2409,2011,Southeast,Second Round,1,2011 Pittsburgh,8,2011 Butler,70,71,-1,141,0
20112410,2410,2011,Southeast,Second Round,5,2011 Kansas St.,4,2011 Wisconsin,65,70,-5,135,0
20112411,2411,2011,Southeast,Second Round,11,2011 Gonzaga,3,2011 BYU,67,89,-22,156,0
20112412,2412,2011,Southeast,Second Round,7,2011 UCLA,2,2011 Florida,65,73,-8,138,0
20122109,2109,2012,South,Second Round,1,2012 Kentucky,8,2012 Iowa St.,87,71,16,158,1
20122110,2110,2012,South,Second Round,12,2012 VCU,4,2012 Indiana,61,63,-2,124,0
20122111,2111,2012,South,Second Round,11,2012 Colorado,3,2012 Baylor,63,80,-17,143,0
20122112,2112,2012,South,Second Round,10,2012 Xavier,15,2012 Lehigh,70,58,12,128,1
20122209,2209,2012,West,Second Round,1,2012 Michigan St.,9,2012 Saint Louis,65,61,4,126,1
20122210,2210,2012,West,Second Round,5,2012 New Mexico,4,2012 Louisville,56,59,-3,115,0
20122211,2211,2012,West,Second Round,6,2012 Murray St.,3,2012 Marquette,53,62,-9,115,0
20122212,2212,2012,West,Second Round,7,2012 Florida,15,2012 Norfolk St.,84,50,34,134,1
20122309,2309,2012,East,Second Round,1,2012 Syracuse,8,2012 Kansas St.,75,59,16,134,1
20122310,2310,2012,East,Second Round,5,2012 Vanderbilt,4,2012 Wisconsin,57,60,-3,117,0
20122311,2311,2012,East,Second Round,6,2012 Cincinnati,3,2012 Florida St.,62,56,6,118,1
20122312,2312,2012,East,Second Round,7,2012 Gonzaga,2,2012 Ohio St.,66,73,-7,139,0
20122409,2409,2012,Midwest,Second Round,1,2012 North Carolina,8,2012 Creighton,87,73,14,160,1
20122410,2410,2012,Midwest,Second Round,12,2012 South Florida,13,2012 Ohio,56,62,-6,118,0
20122411,2411,2012,Midwest,Second Round,11,2012 NC St.,3,2012 Georgetown,66,63,3,129,1
20122412,2412,2012,Midwest,Second Round,10,2012 Purdue,2,2012 Kansas,60,63,-3,123,0
20132109,2109,2013,Midwest,Second Round,1,2013 Louisville,8,2013 Colorado St.,82,56,26,138,1
20132110,2110,2013,Midwest,Second Round,12,2013 Oregon,4,2013 Saint Louis,74,57,17,131,1
20132111,2111,2013,Midwest,Second Round,6,2013 Memphis,3,2013 Michigan St.,48,70,-22,118,0
20132112,2112,2013,Midwest,Second Round,7,2013 Creighton,2,2013 Duke,50,66,-16,116,0
20132209,2209,2013,West,Second Round,1,2013 Gonzaga,9,2013 Wichita St.,70,76,-6,146,0
20132210,2210,2013,West,Second Round,12,2013 Mississippi,13,2013 La Salle,74,76,-2,150,0
20132211,2211,2013,West,Second Round,6,2013 Arizona,14,2013 Harvard,74,51,23,125,1
20132212,2212,2013,West,Second Round,10,2013 Iowa St.,2,2013 Ohio St.,75,78,-3,153,0
20132309,2309,2013,South,Second Round,1,2013 Kansas,8,2013 North Carolina,70,58,12,128,1
20132310,2310,2013,South,Second Round,5,2013 VCU,4,2013 Michigan,53,78,-25,131,0
20132311,2311,2013,South,Second Round,11,2013 Minnesota,3,2013 Florida,64,78,-14,142,0
