game_id,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20083113,3113,2008,East,Sweet 16,1,2008 North Carolina,4,2008 Washington St.,68,47,21,115,1
20083113,3113,2008,East,Sweet 16,3,2008 Louisville,2,2008 Tennessee,79,60,19,139,1
20083213,3213,2008,Midwest,Sweet 16,1,2008 Kansas,12,2008 Villanova,72,57,15,129,1
20083214,3214,2008,Midwest,Sweet 16,3,2008 Wisconsin,10,2008 Davidson,56,73,-17,129,0
20083313,3313,2008,South,Sweet 16,1,2008 Memphis,5,2008 Michigan St.,92,74,18,166,1
20083314,3314,2008,South,Sweet 16,3,2008 Stanford,2,2008 Texas,62,82,-20,144,0
20083413,3413,2008,West,Sweet 16,1,2008 UCLA,12,2008 Western Kentucky,88,78,10,166,1
20083414,3414,2008,West,Sweet 16,3,2008 Xavier,7,2008 West Virginia,79,75,4,154,1
20084115,4115,2008,East,Elite Eight,1,2008 North Carolina,3,2008 Louisville,83,73,10,156,1
20084215,4215,2008,Midwest,Elite Eight,1,2008 Kansas,10,2008 Davidson,59,57,2,116,1
20084315,4315,2008,South,Elite Eight,1,2008 Memphis,2,2008 Texas,85,67,18,152,1
20084415,4415,2008,West,Elite Eight,1,2008 UCLA,3,2008 Xavier,76,57,19,133,1
20093113,3113,2009,Midwest,Sweet 16,1,2009 Louisville,12,2009 Arizona,103,64,39,167,1
20093113,3113,2009,Midwest,Sweet 16,3,2009 Kansas,2,2009 Michigan St.,62,67,-5,129,0
20093213,3213,2009,West,Sweet 16,1,2009 Connecticut,5,2009 Purdue,72,60,12,132,1
20093214,3214,2009,West,Sweet 16,3,2009 Missouri,2,2009 Memphis,102,91,11,193,1
20093313,3313,2009,East,Sweet 16,1,2009 Pittsburgh,4,2009 Xavier,60,55,5,115,1
20093314,3314,2009,East,Sweet 16,3,2009 Villanova,2,2009 Duke,77,54,23,131,1
20093413,3413,2009,South,Sweet 16,1,2009 North Carolina,4,2009 Gonzaga,98,77,21,175,1
20093414,3414,2009,South,Sweet 16,3,2009 Syracuse,2,2009 Oklahoma,71,84,-13,155,0
