team_year,year,team,region,seed,finish,weekend,conference,logo
2019 Abilene Christian,2019,Abilene Christian,Midwest,15,First Round,1,Southland,
2021 Abilene Christian,2021,Abilene Christian,East,14,Second Round,1,Southland,
2009 Akron,2009,Akron,South,13,First Round,1,MAC,
2011 Akron,2011,Akron,Southwest,15,First Round,1,MAC,
2013 Akron,2013,Akron,South,12,First Round,1,MAC,
2022 Akron,2022,Akron,East,13,First Round,1,MAC,
2012 Alabama,2012,Alabama,Midwest,9,First Round,1,SEC,
2018 Alabama,2018,Alabama,East,9,Second Round,1,SEC,
2021 Alabama,2021,Alabama,East,2,Sweet 16,2,SEC,
2022 Alabama,2022,Alabama,West,6,First Round,1,SEC,
2023 Alabama,2023,Alabama,South,1,Sweet 16,2,SEC,
2009 Alabama St.,2009,Alabama St.,Midwest,16,First Round,1,OVC,
2011 Alabama St.,2011,Alabama St.,East,16,First Round,1,SWAC,
2013 Albany,2013,Albany,Midwest,15,First Round,1,America East,
2014 Albany,2014,Albany,South,16,First Round,1,America East,
2015 Albany,2015,Albany,East,14,First Round,1,America East,
2008 American,2008,American,East,15,First Round,1,Patriot,
2009 American,2009,American,East,14,First Round,1,Patriot,
2014 American,2014,American,West,15,First Round,1,Patriot,
2021 Appalachian St.,2021,Appalachian St.,West,16,First Round,1,Sun Belt,
2008 Arizona,2008,Arizona,West,10,First Round,1,Pac 12,
2009 Arizona,2009,Arizona,Midwest,12,Sweet 16,2,Pac 12,
2011 Arizona,2011,Arizona,West,5,Elite Eight,2,Pac 12,
2013 Arizona,2013,Arizona,West,6,Sweet 16,2,Pac 12,
2014 Arizona,2014,Arizona,West,1,Elite Eight,2,Pac 12,
2015 Arizona,2015,Arizona,West,2,Elite Eight,2,Pac 12,
2016 Arizona,2016,Arizona,South,6,First Round,1,Pac 12,
2017 Arizona,2017,Arizona,West,2,Sweet 16,2,Pac 12,
2018 Arizona,2018,Arizona,South,4,First Round,1,Pac 12,
2022 Arizona,2022,Arizona,South,1,Sweet 16,2,Pac 12,
2023 Arizona,2023,Arizona,South,2,First Round,1,Pac 12,
2009 Arizona St.,2009,Arizona St.,South,6,Second Round,1,Pac 12,
2014 Arizona St.,2014,Arizona St.,Midwest,10,First Round,1,Pac 12,
2018 Arizona St.,2018,Arizona St.,Midwest,11,First Round,1,Pac 12,
2019 Arizona St.,2019,Arizona St.,West,11,First Round,1,Pac 12,
2023 Arizona St.,2023,Arizona St.,West,11,First Round,1,Pac 12,
2008 Arkansas,2008,Arkansas,East,9,Second Round,1,SEC,
2015 Arkansas,2015,Arkansas,West,5,Second Round,1,SEC,
