team_year,year,region,seed,team,finish
2024 Purdue,2024,Midwest,1,Purdue,In Progress
2024 Tennessee,2024,Midwest,2,Tennessee,In Progress
2024 Baylor,2024,Midwest,3,Baylor,In Progress
2024 Clemson,2024,Midwest,4,Clemson,In Progress
2024 Dayton,2024,Midwest,5,Dayton,In Progress
2024 Villanova,2024,Midwest,6,Villanova,In Progress
2024 Colorado St.,2024,Midwest,7,Colorado St.,In Progress
2024 South Carolina,2024,Midwest,8,South Carolina,In Progress
2024 Miami FL,2024,Midwest,9,Miami FL,In Progress
2024 Nebraska,2024,Midwest,10,Nebraska,In Progress
2024 Oregon,2024,Midwest,11,Oregon,In Progress
2024 Saint Mary's,2024,Midwest,12,Saint Mary's,In Progress
2024 Samford,2024,Midwest,13,Samford,In Progress
2024 Eastern Washington,2024,Midwest,14,Eastern Washington,In Progress
2024 Southern,2024,Midwest,15,Southern,In Progress
2024 North Carolina Central,2024,Midwest,16,North Carolina Central,In Progress
2024 Lafayette,2024,Midwest,16,Lafayette,In Progress
2024 Connecticut,2024,East,1,Connecticut,In Progress
2024 Wisconsin,2024,East,2,Wisconsin,In Progress
2024 Duke,2024,East,3,Duke,In Progress
2024 TCU,2024,East,4,TCU,In Progress
2024 Mississippi,2024,East,5,Mississippi,In Progress
2024 San Diego St.,2024,East,6,San Diego St.,In Progress
2024 Creighton,2024,East,7,Creighton,In Progress
2024 Boise St.,2024,East,8,Boise St.,In Progress
2024 Texas A&M,2024,East,9,Texas A&M,In Progress
2024 Wake Forest,2024,East,10,Wake Forest,In Progress
2024 Kansas St.,2024,East,11,Kansas St.,In Progress
2024 Ohio St.,2024,East,11,Ohio St.,In Progress
2024 McNeese St.,2024,East,12,McNeese St.,In Progress
2024 Drexel,2024,East,13,Drexel,In Progress
2024 High Point,2024,East,14,High Point,In Progress
2024 Sam Houston St.,2024,East,15,Sam Houston St.,In Progress
2024 Saint Peter's,2024,East,16,Saint Peter's,In Progress
2024 Kansas,2024,South,1,Kansas,In Progress
2024 North Carolina,2024,South,2,North Carolina,In Progress
2024 Illinois,2024,South,3,Illinois,In Progress
2024 Kentucky,2024,South,4,Kentucky,In Progress
2024 Oklahoma,2024,South,5,Oklahoma,In Progress
2024 Auburn,2024,South,6,Auburn,In Progress
2024 Utah St.,2024,South,7,Utah St.,In Progress
2024 Utah,2024,South,8,Utah,In Progress
2024 Mississippi St.,2024,South,9,Mississippi St.,In Progress
2024 Northwestern,2024,South,10,Northwestern,In Progress
2024 Providence,2024,South,11,Providence,In Progress
2024 Texas Tech,2024,South,11,Texas Tech,In Progress
2024 Indiana St.,2024,South,12,Indiana St.,In Progress
2024 UC Irvine,2024,South,13,UC Irvine,In Progress
2024 Vermont,2024,South,14,Vermont,In Progress
2024 Troy,2024,South,15,Troy,In Progress
2024 Merrimack,2024,South,16,Merrimack,In Progress
2024 Western Illinois,2024,South,16,Western Illinois,In Progress
2024 Houston,2024,West,1,Houston,In Progress
2024 Arizona,2024,West,2,Arizona,In Progress
2024 Memphis,2024,West,3,Memphis,In Progress
2024 Marquette,2024,West,4,Marquette,In Progress
2024 Alabama,2024,West,5,Alabama,In Progress
2024 Iowa St.,2024,West,6,Iowa St.,In Progress
2024 St. John's,2024,West,7,St. John's,In Progress
2024 Florida Atlantic,2024,West,8,Florida Atlantic,In Progress
2024 Seton Hall,2024,West,9,Seton Hall,In Progress
2024 BYU,2024,West,10,BYU,In Progress
2024 Grand Canyon,2024,West,11,Grand Canyon,In Progress
2024 Princeton,2024,West,12,Princeton,In Progress
2024 Akron,2024,West,13,Akron,In Progress
2024 Oakland,2024,West,14,Oakland,In Progress
2024 Denver,2024,West,15,Denver,In Progress
2024 Kennesaw St.,2024,West,16,Kennesaw St.,In Progress
