TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
Houston Cougars,Big 12,14-2,21.2,1,--,8.3,12.9,27.0-4.0,14.0-4.0,0.754,10th
Arizona Wildcats,Pac-12,45630,17.1,2,1,9.7,7.4,25.4-5.6,16.4-3.6,0.955,83rd
Purdue Boilermakers,Big Ten,15-2,16.8,3,1,10.6,6.2,26.3-4.7,15.3-4.7,0.544,43rd
Alabama Crimson Tide,SEC,45601,15.7,4,4,11.4,4.3,22.0-9.0,14.0-4.0,0.473,18th
Iowa State Cyclones,Big 12,13-3,15.5,5,2,6.5,9.1,22.9-8.1,11.9-6.1,0.177,3rd
Auburn Tigers,SEC,14-2,15,6,1,8.3,6.7,25.0-6.0,14.1-3.9,0.483,39th
Creighton Bluejays,Big East,13-4,14.9,7,1,9.6,5.3,23.1-7.9,14.1-5.9,0.378,28th
Tennessee Volunteers,SEC,45630,14.9,8,4,6.3,8.6,23.1-7.9,13.1-4.9,0.253,42nd
Duke Blue Devils,ACC,13-3,14.8,9,1,10.1,4.7,24.6-6.4,15.6-4.4,0.434,62nd
UConn Huskies,Big East,15-2,14,10,1,10.3,3.8,24.8-6.2,14.9-5.1,0.607,30th
North Carolina Tar Heels,ACC,13-3,14,11,2,7.5,6.6,24.4-6.6,16.4-3.6,0.685,63rd
BYU Cougars,Big 12,13-3,13.4,12,--,7.3,6.1,22.5-8.5,10.5-7.5,0.045,15th
Illinois Fighting Illini,Big Ten,45630,13.4,13,4,7.1,6.3,22.4-8.6,13.4-6.6,0.135,35th
Baylor Bears,Big 12,14-2,13.3,14,--,10.7,2.6,22.7-8.3,11.7-6.3,0.164,1st
Wisconsin Badgers,Big Ten,13-3,13.2,15,1,8.2,5.1,23.3-7.7,15.3-4.7,0.539,32nd
Marquette Golden Eagles,Big East,45631,12.5,16,1,6.5,6.1,21.2-9.8,12.2-7.8,0.071,38th
Michigan State Spartans,Big Ten,45572,12.4,17,2,6.1,6.3,19.7-11.3,11.7-8.3,0.016,53rd
Kansas Jayhawks,Big 12,14-2,11.9,18,1,6.1,5.8,21.9-9.1,9.9-8.1,0.029,5th
Kentucky Wildcats,SEC,45629,11.8,19,1,8.8,3,22.5-8.5,11.7-6.3,0.066,52nd
TCU Horned Frogs,Big 12,13-3,11.3,20,5,5.9,5.4,21.3-9.7,10.3-7.7,0.038,13th
Texas A&M Aggies,SEC,45571,11.2,21,1,7,4.2,19.8-11.2,10.8-7.2,0.018,56th
Florida Atlantic Owls,American,13-4,11,22,1,8.5,2.6,24.3-6.7,14.3-3.7,0.583,116th
Villanova Wildcats,Big East,45602,10.9,23,--,5.9,5,19.5-11.5,12.5-7.5,0.108,36th
Cincinnati Bearcats,Big 12,45630,10.9,24,2,5.3,5.5,20.0-11.0,9.0-9.0,0.006,16th
Texas Tech Red Raiders,Big 12,14-2,10.7,25,3,6.1,4.6,21.6-9.4,10.6-7.4,0.056,8th
Oklahoma Sooners,Big 12,13-3,10.6,26,2,5.6,5,20.9-10.1,8.8-9.2,0.007,12th
Saint Mary's Gaels,WCC,13-6,10.3,27,17,3.4,6.9,22.7-8.3,13.8-2.2,0.708,140th
Clemson Tigers,ACC,45630,10.3,28,2,7.4,2.8,22.0-9.0,12.0-8.0,0.01,76th
Wake Forest Demon Deacons,ACC,45630,10.2,29,1,6.5,3.7,21.1-9.9,13.1-6.9,0.054,55th
St. John's Red Storm,Big East,45631,10.2,30,3,6,4.2,20.6-10.4,12.6-7.4,0.112,59th
Dayton Flyers,A-10,13-2,10.2,31,3,6.8,3.4,25.0-5.0,15.0-3.0,0.848,126th
Gonzaga Bulldogs,WCC,45601,10.1,32,5,6.6,3.4,21.7-8.3,12.4-3.6,0.252,106th
Texas Longhorns,Big 12,45630,10,33,1,4.9,5.1,18.6-12.4,7.6-10.4,<0.1%,2nd
Florida Gators,SEC,45601,10,34,5,6.9,3.1,19.3-11.7,9.3-8.7,0.004,29th
Utah Utes,Pac-12,45631,9.9,35,4,5.6,4.2,21.4-9.6,12.4-7.6,0.044,79th
Mississippi State Bulldogs,SEC,45630,9.8,36,5,3.3,6.6,20.0-11.0,9.0-9.0,0.002,22nd
Xavier Musketeers,Big East,45512,9.3,37,8,3.5,5.8,16.6-14.4,10.6-9.4,0.011,61st
Iowa Hawkeyes,Big Ten,45602,8.8,38,11,7.4,1.5,18.0-13.0,10.0-10.0,0.002,21st
Miami Hurricanes,ACC,45630,8.8,39,4,6.7,2.1,20.1-10.9,11.1-8.9,0.007,47th
San Francisco Dons,WCC,14-4,8.8,40,7,4.2,4.6,23.7-7.3,12.6-3.4,0.317,110th
Princeton Tigers,Ivy,14-1,8.8,41,3,7.6,1.1,23.5-3.5,11.5-2.5,0.71,146th
Kansas State Wildcats,Big 12,45630,8.7,42,8,3.5,5.2,18.3-12.7,8.3-9.7,0.003,7th
Virginia Tech Hokies,ACC,45571,8.5,43,5,4.9,3.7,18.7-12.3,10.7-9.3,0.002,68th
Memphis Tigers,American,15-2,8.4,44,2,4.5,3.9,24.8-6.2,13.7-4.3,0.389,99th
San Diego State Aztecs,Mountain West,14-3,8.3,45,4,3,5.4,23.0-8.0,12.0-6.0,0.189,82nd
Ohio State Buckeyes,Big Ten,45631,8.3,46,10,5.4,2.9,18.9-12.1,8.9-11.1,0.001,31st
Indiana State Sycamores,MVC,14-3,8.1,47,7,6.3,1.9,25.2-5.8,16.1-3.9,0.778,165th
Providence Friars,Big East,45602,8.1,48,6,1.5,6.6,17.8-13.2,8.8-11.2,<0.1%,37th
Virginia Cavaliers,ACC,45601,8.1,49,6,1.4,6.7,19.4-11.6,10.4-9.6,0.001,67th
Utah State Aggies,Mountain West,16-1,8,50,6,5.1,3,25.4-5.6,13.4-4.6,0.516,92nd
Northwestern Wildcats,Big Ten,45630,7.9,51,2,5.1,2.8,20.0-11.0,11.0-9.0,0.005,58th
James Madison Dukes,Sun Belt,15-2,7.9,52,--,4.4,3.6,25.9-4.1,13.9-4.1,0.369,220th
Pittsburgh Panthers,ACC,45571,7.9,53,16,3.6,4.3,17.9-13.1,8.9-11.1,<0.1%,60th
SMU Mustangs,American,45601,7.9,54,9,1.5,6.3,21.8-9.2,12.8-5.2,0.186,121st
Nevada Wolf Pack,Mountain West,15-2,7.8,55,15,3.6,4.2,24.2-7.8,11.2-6.8,0.09,81st
Boise State Broncos,Mountain West,45630,7.7,56,9,3.5,4.2,22.0-9.0,13.0-5.0,0.398,95th
Grand Canyon Lopes,WAC,16-1,7.4,57,4,5,2.4,27.4-3.6,17.4-2.6,0.978,197th
