"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2024","Abilene Christian",72.3279,52,69.8976,93,97.8744,288,101.892,235,104.229,175,106.367,193,-4.4755,223
"2024","Air Force",64.8444,344,62.6559,358,102.966,202,101.541,249,103.031,150,106.067,184,-4.52573,225
"2024","Akron",67.0101,284,66.031,294,108.85,95,109.111,101,100.181,106,101.297,96,7.81446,97
"2024","Alabama",72.4688,46,72.0678,35,124.509,1,124.438,1,101.658,122,98.8677,58,25.5702,6
"2024","Alabama A&M",72.509,43,70.8396,67,94.709,324,94.3013,339,113.871,341,114.543,346,-20.2413,353
"2024","Alabama St.",70.4734,113,67.6244,224,93.6444,332,93.7721,341,103.188,159,103.844,141,-10.072,291
"2024","Albany",73.9563,20,73.2479,21,103.982,190,103.173,214,102.05,135,107.578,227,-4.40488,222
"2024","Alcorn St.",70.5508,110,69.1319,131,97.0528,298,103.518,209,122.302,360,115.741,355,-12.2236,311
"2024","American",64.7719,345,64.0974,344,109.257,87,106.62,149,109.768,283,113.751,336,-7.13104,266
"2024","Appalachian St.",68.2133,229,66.8301,255,106.38,146,106.193,160,94.4984,25,96.7641,37,9.4284,81
"2024","Arizona",75.822,3,74.3134,8,118.461,9,120.314,5,93.4847,16,91.414,3,28.9002,2
"2024","Arizona St.",71.7891,63,70.4768,74,96.3253,306,103.559,208,98.7368,81,96.5336,36,7.0251,101
"2024","Arkansas",72.9058,35,70.4501,75,106.025,152,110.242,85,105.28,201,101.465,100,8.77696,89
"2024","Arkansas Pine Bluff",74.5271,13,73.5146,17,100.335,251,99.9695,287,122.766,361,119.052,362,-19.0829,346
"2024","Arkansas St.",71.1838,80,68.7134,150,111.806,58,110.446,81,111.365,312,110.247,279,0.199165,162
"2024","Army",64.2406,351,63.2537,355,93.6814,331,92.3474,349,102.49,141,108.504,250,-16.1566,335
"2024","Auburn",71.418,71,71.14,56,117.591,13,118.854,9,91.8969,7,92.5881,6,26.266,4
"2024","Austin Peay",65.32,336,64.9341,330,98.0902,285,101.595,247,106,214,105.906,182,-4.31137,221
"2024","Ball St.",66.4625,303,65.5067,312,106.44,145,103.817,202,110.986,304,112.552,323,-8.73465,276
"2024","Baylor",68.9509,198,67.7272,218,122.997,3,121.419,4,98.7499,82,98.8315,57,22.5877,14
"2024","Bellarmine",66.2344,313,64.9688,328,95.833,314,100.512,274,114.858,347,112.091,314,-11.5793,306
"2024","Belmont",72.9068,34,71.8764,43,105.973,154,108.592,116,107.033,232,105.801,176,2.79094,134
"2024","Bethune Cookman",72.9126,33,71.9637,39,94.5427,326,95.6863,331,106.729,226,111.472,305,-15.7857,330
"2024","Binghamton",70.2077,125,69.7863,102,100.821,241,101.774,242,108.686,270,111.684,307,-9.91008,289
"2024","Boise St.",67.4929,261,69.0124,134,105.601,161,108.941,107,96.2527,38,94.5289,19,14.412,50
"2024","Boston College",69.466,164,68.7508,149,111.54,60,113.322,53,104.117,172,104.664,158,8.65759,90
"2024","Boston University",67.157,278,67.0174,247,94.1006,329,95.9208,329,98.5405,78,104.918,163,-8.99739,277
"2024","Bowling Green",70.0334,132,68.825,145,105.181,172,103.345,211,101.08,117,106.277,191,-2.93205,199
"2024","Bradley",67.9069,238,67.1761,240,108.92,94,109.084,102,97.8057,59,99.4033,65,9.68115,79
"2024","Brown",68.7365,208,67.9868,200,97.9646,286,99.8208,290,104.906,189,106.688,204,-6.86687,259
"2024","Bryant",75.3869,6,74.5634,5,97.0573,297,100.945,264,98.1295,68,100.933,91,0.0123909,163
"2024","Bucknell",65.2199,338,65.6786,306,99.0685,274,99.4123,297,111.118,309,112.515,320,-13.1031,317
"2024","Buffalo",69.7867,139,68.6449,156,95.1856,318,96.8349,320,113.402,337,112.896,326,-16.0607,333
"2024","Butler",69.5131,158,68.6784,153,111.143,67,114.038,46,101.913,132,101.559,102,12.4785,63
"2024","BYU",70.7945,102,69.2978,124,120.984,4,116.345,23,89.0407,3,92.6504,7,23.6945,11
"2024","Cal Baptist",66.0025,318,65.574,309,102.891,203,102.907,221,97.6474,58,102.047,110,0.86079,153
"2024","Cal Poly",65.9871,319,65.6089,308,93.4132,334,93.7619,342,110.226,290,109.973,274,-16.2109,336
"2024","Cal St. Bakersfield",65.3896,333,64.6989,332,98.8405,278,100.363,280,111.554,317,110.715,290,-10.3519,295
"2024","Cal St. Fullerton",67.4272,264,65.8485,300,95.0952,321,99.5532,296,105.462,206,104.495,153,-4.94197,231
"2024","Cal St. Northridge",74.665,9,74.3993,7,104.28,186,102.6,226,97.1202,49,104.547,155,-1.94726,190
"2024","California",69.4167,171,68.2869,182,106.669,137,109.899,89,107.824,251,106.371,195,3.52827,129
"2024","Campbell",65.0618,341,65.0783,324,96.7405,302,95.6976,330,103.187,158,108.823,252,-13.1253,318
"2024","Canisius",70.0531,131,68.5712,164,102.718,208,102.552,227,105.849,211,107.798,240,-5.24632,236
"2024","Central Arkansas",69.6743,145,68.9899,137,97.4604,292,97.101,318,113.715,340,114.54,345,-17.4395,339
"2024","Central Connecticut",68.9491,199,68.5226,167,101.962,222,101.383,253,101.793,128,107.263,217,-5.88002,247
"2024","Central Michigan",67.7058,249,67.1348,242,97.7269,290,99.7696,291,109.371,277,110.218,277,-10.4481,297
"2024","Charleston",72.0687,59,71.9646,38,109.742,79,109.709,93,104.342,179,104.781,161,4.92762,115
"2024","Charleston Southern",66.8759,288,65.8452,301,96.6679,303,99.1749,301,115.124,350,114.078,341,-14.9031,325
"2024","Charlotte",64.1207,353,64.0539,347,103.699,195,106.432,152,101.78,127,101.895,107,4.53738,117
"2024","Chattanooga",69.5187,157,67.3429,232,106.788,134,104.181,194,104.83,188,107.33,222,-3.14895,204
"2024","Chicago St.",66.5488,300,65.3726,315,96.6664,304,98.4592,305,105.701,207,108.372,248,-9.91295,290
"2024","Cincinnati",69.9864,134,69.267,125,112.749,48,112.257,65,93.7581,19,94.7114,20,17.5455,33
"2024","Clemson",68.8234,204,67.2775,236,116.482,16,118.039,14,104.765,185,100.396,81,17.6433,31
"2024","Cleveland St.",69.3544,174,68.9948,136,108.136,105,106.424,154,107.088,236,109.007,259,-2.58284,194
"2024","Coastal Carolina",71.0033,90,69.5787,108,102.206,215,101.458,250,110.592,297,112.525,321,-11.067,302
"2024","Colgate",67.2039,274,66.2724,283,101.648,227,105.28,175,103.088,151,105.827,178,-0.547678,172
"2024","Colorado",70.4461,114,69.0287,133,113.072,42,114.852,39,100.21,107,98.2579,50,16.5942,36
"2024","Colorado St.",68.7018,210,66.939,252,115.579,21,117.731,17,102.158,138,99.4798,67,18.2509,25
"2024","Columbia",71.0167,89,68.6592,155,106.218,148,105.915,168,106.937,230,111.4,302,-5.48509,243
"2024","Connecticut",67.1743,276,65.1587,320,123.337,2,123.295,3,97.9929,62,97.9022,44,25.393,7
"2024","Coppin St.",67.4353,263,66.5238,269,80.4497,361,84.1311,362,104.379,180,106.79,207,-22.6593,360
"2024","Cornell",73.2741,27,72.4055,27,112.796,45,113.526,51,104.516,182,107.414,225,6.11143,110
"2024","Creighton",67.7841,243,66.803,257,117.075,14,116.283,25,96.1926,37,93.8494,13,22.4332,15
"2024","Dartmouth",66.3856,309,66.0705,291,87.3941,358,91.7026,356,107.928,254,107.265,218,-15.5622,329
"2024","Davidson",65.8581,322,66.4258,274,104.882,176,105.825,169,103.141,153,103.334,132,2.49048,135
"2024","Dayton",63.5367,357,63.008,356,115.352,22,118.753,10,101.707,125,100.653,87,18.0996,28
"2024","Delaware",68.7686,206,68.6775,154,108.044,108,107.618,131,101.849,129,104.654,157,2.96366,133
"2024","Delaware St.",70.809,101,69.8973,94,92.856,337,94.8885,335,101.348,120,106.256,190,-11.3677,304
"2024","Denver",70.872,95,70.7615,69,116.159,19,112.654,62,112.823,328,113.079,330,-0.42465,171
"2024","DePaul",67.8203,242,67.5997,226,97.087,295,101.868,236,114.062,342,108.942,255,-7.07445,264
"2024","Detroit Mercy",67.8417,241,67.8309,213,90.3612,345,91.9986,352,114.956,349,113.728,335,-21.7297,359
"2024","Drake",68.6802,211,67.9023,205,113.381,37,113.289,55,99.4237,91,101.456,99,11.8329,66
"2024","Drexel",65.6046,329,63.9747,349,107.826,112,106.427,153,97.0493,47,99.6567,70,6.77066,103
"2024","Duke",69.0469,192,68.1981,185,118.993,7,119.69,7,95.6014,33,95.8264,30,23.8638,10
"2024","Duquesne",69.3259,175,68.4504,171,106.183,149,108.721,112,102.943,148,102.187,113,6.53414,106
"2024","East Carolina",66.2039,314,65.3413,316,107.206,124,106.896,145,106.074,216,108.581,251,-1.68507,187
"2024","East Tennessee St.",69.0258,193,68.9461,138,100.078,256,101.816,240,104.462,181,105.682,174,-3.86683,214
"2024","Eastern Illinois",67.0866,282,66.1644,289,93.9288,330,96.1861,325,107.352,242,109.931,271,-13.7451,321
"2024","Eastern Kentucky",71.3293,75,69.3229,123,101.903,224,105,180,109.051,273,107.758,238,-2.75833,198
"2024","Eastern Michigan",66.6719,294,65.5226,311,100.281,252,99.2896,299,112.895,330,113.244,332,-13.954,324
"2024","Eastern Washington",70.742,105,70.1427,86,108.161,104,110.499,80,108.313,263,106.486,197,4.01291,121
"2024","Elon",68.6483,212,68.8529,143,106.475,144,104.424,187,114.567,345,116.163,356,-11.7394,308
