rank,team,obpr,dbpr,bpr,off_rank,def_rank,tempo,tempo_rank,rank_inj,home_rank,runs_per_game,runs_conceded_per_game,runs_total,runs_conceded_total,wins,losses,color_O,color_D,color_Diff
1,Houston,10.9969473759689,18.6787711185147,29.6757184944836,15,1,66.61380090829,333,1,4,1.3125,0.25,21,4,14,2,#FFC379,#FF9E24,#FF9D22
2,Purdue,17.8843199138364,10.1880942319834,28.0724141458198,1,9,69.476420180232,191,2,15,0.882352941176471,0.294117647058824,15,5,15,2,#FF9E25,#FFCA88,#FFA22E
3,Arizona,14.6067528778037,11.8865060914793,26.4932589692829,6,4,75.074579074,5,3,2,1.25,0.125,20,2,12,4,#FFB04D,#FFC174,#FFA83A
4,Auburn,13.8206189103648,11.3749885977339,25.1956075080988,7,5,71.462247035309,79,4,238,1.125,0.25,18,4,14,2,#FFB456,#FFC47A,#FFAC43
5,Tennessee,10.9429307189499,13.1723155730277,24.1152462919776,19,2,70.375000209971,134,5,39,0.6875,0.1875,11,3,12,4,#FFC479,#FFBB65,#FFAF4B
6,North Carolina,11.6883497207966,10.8714316683279,22.5597813891245,12,7,72.10483209678,54,6,193,0.9375,0.1875,15,3,13,3,#FFC070,#FFC680,#FFB457
7,Alabama,15.8462992242616,6.6802965925175,22.5265958167791,3,43,73.3952095362,24,7,18,1.1875,0.375,19,6,11,5,#FFA93D,#FFDCB0,#FFB557
8,Duke,13.5164824127798,8.75280957931705,22.2692919920968,5,18,69.2202260971775,213,8,93,0.8125,0.25,13,4,13,3,#FFB65A,#FFD198,#FFB559
9,Connecticut,15.7365221932921,6.17816601350552,21.9146882067976,2,40,67.075551045319,321,9,78,0.882352941176471,0.235294117647059,15,4,15,2,#FFAA3F,#FFDFB6,#FFB75C
10,Creighton,11.8531800440265,9.21108551866979,21.0642655626963,11,15,68.6316977270159,245,10,178,1,0.176470588235294,17,3,13,4,#FFBF6E,#FFCF93,#FFB962
11,Kansas,10.6046772367104,9.67339232281931,20.2780695595297,20,12,70.2824216473571,139,11,149,0.6,0.466666666666667,9,7,13,2,#FFC57D,#FFCD8E,#FFBC68
12,Illinois,11.847193080548,8.15938861737417,20.0065816979222,8,25,71.0315632342043,97,12,271,0.9375,0.25,15,4,12,4,#FFBF6E,#FFD49F,#FFBD6A
13,Michigan State,10.3959009132631,9.49170974762459,19.8876106608877,21,11,67.874117044237,291,13,22,0.6875,0.0625,11,1,10,7,#FFC780,#FFCE90,#FFBD6B
14,Iowa State,6.77788456209029,12.9745850554904,19.7524696175807,58,3,70.2612473650025,141,14,3,1.13333333333333,0.266666666666667,17,4,13,3,#FFDAAC,#FFBC67,#FFBE6C
15,BYU,10.1050501112483,9.2866564712767,19.391706582525,24,14,71.0532062612056,96,15,32,1.06666666666667,0.2,16,3,13,3,#FFC883,#FFCF92,#FFBF6F
16,Baylor,14.9527976641529,3.89305205764221,18.8458497217951,4,91,68.9919255109169,225,16,21,1.06666666666667,0.133333333333333,16,2,13,2,#FFAE48,#FFEAD1,#FFC173
17,Kentucky,12.8680418156983,5.86063999607609,18.7286818117744,9,54,73.7038498493,21,17,167,0.733333333333333,0.2,11,3,12,3,#FFB962,#FFE0BA,#FFC173
