"Le Moyne",96.729160157063,113.04048753712,0.14282057636904,3–11,3,14,47.6,54.2,25.4,27.9,17.9,19.2,24.4,32.3,69.8,46.2,56.5,32.9,34.3,8.8,8.8,60.1,58.5,46.3,45.2,69.1,,,,2024,,,,-8.4917723085898,77.6,72
"UC Santa Barbara",103.01824360372,107.43674345379,0.38155442671463,8–6,8,14,54.4,49.1,39.6,28,20.5,13.7,27.3,25.6,69.4,53.8,49.7,37.2,31.8,9.2,6.7,50.9,46.8,29,33.3,69.6,,,,2024,,,,-3.9667696993142,71.8,67.9
"Arkansas Pine Bluff",100.80617869767,121.04299551766,0.10872018815108,2–10,2,12,48.9,58.8,38.9,33.8,17.3,18.2,22,37.8,74.5,45.1,61.6,35.6,36.3,4.5,15.7,51.7,61,46.7,39.4,74.6,,,,2024,,,,-6.3742026645498,75.5,74.6
Toledo,111.8081463472,110.20094971603,0.54153095374843,10–6,10,16,53,56.2,36,25.6,15.7,19.2,30.4,30.4,70.2,51.7,57.5,37.4,36,7,7.4,43.9,47.3,27.6,37.8,70,,,,2024,,,,-2.3123841312079,77.1,75.6
Indiana,106.95387704973,99.004007873816,0.70852468079863,12–5,12,17,52.6,47.8,42.8,28.9,17.5,16.7,27,30.5,70.8,53.3,46.7,33.7,32.9,11.4,9.2,58.2,54,26.9,42.2,70.9,,,,2024,,,,-0.070601191035026,66.2,71.9
"North Carolina St.",109.62147465985,98.857059565688,0.76649429961154,12–4,12,16,50.3,49,29.5,34.3,13.1,19.4,29,27.9,69.4,50.2,47.8,33.6,34.1,7.7,7.2,47.8,46.9,35.9,35.2,69.8,,,,2024,,,,0.21225567020438,71.2,69.1
"Central Michigan",98.04330503513,109.06759464319,0.22698344411744,7–8,7,15,48.6,52.4,25.5,31.8,19.1,18.5,28.7,31.5,67.7,48.3,54,32.8,33.3,8.7,7.6,47.2,55.8,34.6,40.9,68.4,,,,2024,,,,-4.1611512402293,66.8,78.8
Brown,97.679141131655,106.29220188518,0.27452292703393,4–12,4,16,47.5,51.2,34.8,33.2,19.3,16.4,31.4,26.2,68.9,47.5,51.2,31.7,34,12.6,11.4,48.6,49.9,38.2,35.4,69,,,,2024,,,,-8.8085237493202,63.7,67.8
"Wright St.",116.64219811371,111.85670954283,0.61816410989235,7–9,7,16,58.2,56,29.7,31.3,16.7,15.9,29,27.9,72.4,58.4,56.5,38.6,36.9,7.4,6.5,48.6,49,27.5,39.9,72.2,,,,2024,,,,-5.6240553699889,75,70.9
"UC Irvine",105.61006680877,96.834321224808,0.7305963642398,11–5,11,16,52.2,45.4,34.9,35.4,18.2,17,30.4,27.2,69.2,50.8,43.9,37.3,32.2,8.6,8.1,58.4,50.1,27.7,32.7,69.5,,,,2024,,,,-0.70498080856014,73.5,71.4
Furman,106.47706773443,107.8999208865,0.46190974522552,6–8,6,14,52.1,53.9,31.4,28.4,17.4,15.7,31.1,26.5,72.8,56,55.5,31.8,34,6.5,11,60.1,51.5,46.9,34.2,72.8,,,,2024,,,,-5.1773968562953,72.9,68.7
