team_year,BPI_Off,BPI_Def,BPI
2008 Kansas,12.4,9.6,21.9
2008 North Carolina,19.2,1,20.2
2008 Memphis,11.3,8,19.3
2008 UCLA,7.9,10.9,18.9
2008 Duke,13.8,4.3,18.2
2008 Georgetown,4.3,12.9,17.2
2008 West Virginia,8.9,7.7,16.6
2008 Wisconsin,2.1,14.4,16.5
2008 Tennessee,13.3,2.8,16.1
2008 Louisville,7.1,9.1,16.1
2008 Davidson,9.5,5.3,14.8
2008 Clemson,10.2,4.5,14.7
2008 Washington St.,1.1,13.2,14.3
2008 Xavier,7.9,6.4,14.3
2008 Marquette,8.3,5.9,14.2
2008 Stanford,5.5,8.6,14.1
2008 Texas,9.4,4.3,13.7
2008 Michigan St.,5.8,7.8,13.6
2008 Pittsburgh,7.2,6,13.3
2008 Indiana,8.5,4.1,12.6
2008 Butler,3.3,9.2,12.5
2008 Connecticut,8.5,3.8,12.3
2008 Texas A&M,4.1,8.2,12.3
2008 Notre Dame,10.6,1.6,12.2
2008 USC,4.9,7.1,12
2008 Ohio St.,3.6,8.2,11.8
2008 Gonzaga,8.1,2.9,11
2008 Mississippi St.,5.5,5.5,11
2008 Arizona,6.6,4.1,10.7
2008 Florida,8.1,2.5,10.6
2008 Miami FL,8.1,2.2,10.4
2008 Drake,5.4,4.9,10.3
2008 Purdue,3.9,6,9.9
2008 Oregon,11,-1.1,9.9
2008 Virginia Tech,2.4,7.4,9.8
2008 Arkansas,5.5,4.1,9.7
2008 Kansas St.,8.6,1.1,9.6
2008 Syracuse,10.1,-0.6,9.6
2008 Oklahoma,2.6,6.9,9.5
2008 Saint Joseph's,6.1,3.2,9.3
2008 Mississippi,10.1,-0.7,9.3
2008 New Mexico,5.2,4.1,9.3
2008 Georgia Tech,9.8,-0.5,9.2
2008 Missouri,10.1,-1,9.1
2008 Villanova,5.6,3.4,9
2008 VCU,0.4,8.6,9
2008 Saint Mary's,5.1,3.9,9
2008 UNLV,2.6,6,8.6
2008 Vanderbilt,10,-1.6,8.4
2008 Maryland,5.9,2.4,8.3
2008 Florida St.,4.4,3.9,8.3
2008 BYU,4.6,3.6,8.2
2008 Western Kentucky,7.5,0.6,8.2
2008 Illinois,-0.7,8.8,8.1
2008 Rhode Island,11,-3.1,7.8
2008 Baylor,12.6,-4.8,7.8
2008 Massachusetts,11.3,-3.5,7.8
2008 Minnesota,3.2,4.4,7.6
2008 Kent St.,1.8,5.8,7.6
2008 Nebraska,-0.5,8,7.5
2008 Duquesne,11.1,-3.7,7.4
2008 Kentucky,1,6.4,7.4
2008 Arizona St.,0.5,6.7,7.1
2008 Dayton,2.2,4.9,7.1
2008 Wake Forest,4.5,2.5,7
2008 Temple,4.7,2.3,7
2008 Washington,6.6,0.3,6.9
2008 California,9.6,-2.7,6.9
2008 Illinois St.,-1.6,8.5,6.9
2008 UAB,5,1.9,6.9
2008 Houston,8.4,-1.7,6.7
2008 George Mason,2,4.8,6.7
2008 Akron,2.9,3.7,6.6
2008 Virginia,7.8,-1.4,6.4
2008 Creighton,4.2,2.1,6.3
2008 South Alabama,4,2.1,6.1
2008 Southern Illinois,-2.6,8.6,6
2008 Charlotte,2.2,3.8,6
2008 IUPUI,3.8,2.1,6
2008 Alabama,6.5,-0.5,6
2008 Winthrop,-4.7,10.5,5.9
2008 Providence,5,0.9,5.8
2008 Utah,1.5,4.2,5.6
2008 Oral Roberts,-0.9,6.5,5.6
2008 Georgia,0.4,4.9,5.3
2008 South Carolina,4,1.2,5.2
2008 Tulsa,1.5,3.6,5.2
2008 Siena,6.1,-1,5.1
2008 Oklahoma St.,0.8,4.1,4.9
2008 Texas Tech,2.3,2.6,4.9
2008 Miami (OH),-3.2,8.1,4.9
2008 Stephen F. Austin,-4.9,9.8,4.9
2008 Cal St. Fullerton,9.6,-4.9,4.7
2008 Western Michigan,2.5,1.9,4.4
2008 UNC Greensboro,1.9,2.4,4.3
2008 Boston College,2.7,1.6,4.3
2008 Old Dominion,-0.1,4.4,4.3
2008 New Mexico St.,7.2,-2.9,4.3
2008 UC Santa Barbara,0.3,3.9,4.3
2008 Ohio,1,3.2,4.2
2008 San Diego St.,-0.7,4.9,4.2
2008 NC St.,1.1,3.2,4.2
2008 Missouri St.,1.2,2.8,4
2008 Bradley,7.3,-3.3,3.9
2008 Southern Miss,2,1.9,3.9
2008 UCF,3.9,0,3.9
2008 Cornell,6.2,-2.5,3.6
2008 UTEP,6.5,-3.1,3.4
2008 DePaul,5.8,-2.4,3.4
