team_year,Team,AdjOE,AdjDE,Barthag,Record,Wins,Games,EFG%,EFGD%,FTR,FTRD,TO%,TOD%,ORB%,DRB%,AdjT,2P%,2P%D,3P%,3P%D,na_1,na_2,na_3,na_4,na_5,na_6,na_7,Year,WAB,FT%,FTD%
2020 UC Santa Barbara,UC Santa Barbara,104.3885395,104.4436033,0.498483874,19–10,19,29,51.1,51,37.2,30,18.3,19,31.3,25.7,64.8,51,50.6,34.2,34.5,7.2,7.3,55.7,47.1,35.4,35.9,65.2,2020,-5.658963679,74.9,71.1
2020 Arkansas Pine Bluff,Arkansas Pine Bluff,79.14776915,102.8349456,0.046940376,3–26,3,29,43.1,48.9,37.4,46.3,26.2,20.6,27.1,30.7,67.5,44.6,50.2,26.3,31.1,9.7,7.5,47.7,57.6,28.8,36.9,66.9,2020,-20.00948775,58.5,67.9
2020 Portland St.,Portland St.,107.4825119,107.3547895,0.503418365,16–14,16,30,49.6,52.9,30.8,32.1,17.7,20.3,35.9,34.3,71.8,49.2,53.3,33.8,34.6,9.6,8.3,47.4,54.1,30.5,30.2,72.4,2020,-8.45068907,72.3,71.5
2020 Indiana,Indiana,107.0311041,92.19277546,0.847643079,20–12,20,32,49.3,47.9,39.2,32.6,18.3,17.8,32.4,24.5,68.7,49.5,47.6,32.6,32.2,12.6,8.3,51,51.3,29.6,38.6,68.7,2020,1.870788485,67.9,68.3
2020 NC St.,NC St.,110.0672567,95.86066559,0.830510903,20–12,20,32,50.8,47.8,28.5,35.4,16.9,20.1,28.8,30.9,70.6,52.6,48,31.8,31.6,11.6,8.6,48.8,43.3,35.6,32.8,70.3,2020,-0.502816852,71,69
2020 Central Michigan,Central Michigan,101.1768917,104.9593047,0.396019944,11–18,11,29,47.5,54.5,33.7,29.2,17.7,21.1,27.5,28.9,74.4,47.7,52.1,31.4,38.9,6.8,8.9,40.7,51.2,37.5,39,74.4,2020,-11.01468611,75.1,71.2
2020 Brown,Brown,96.08674162,99.25374132,0.407834395,14–12,14,26,44.9,49.7,32.4,29.3,21.2,19.7,32.8,26.4,69.9,44.5,49.4,30.4,33.5,11.5,11.7,47.6,49.1,38.1,36.9,70.1,2020,-6.513465353,73.8,72.1
2020 Wright St.,Wright St.,103.8629627,99.0976551,0.631839337,23–7,23,30,51,46.5,37.8,27.1,16.6,18.9,31.9,29.4,73.1,49.9,47.3,35.5,30,8.1,7.4,47.6,41.6,33.7,32.1,72.8,2020,-3.644245402,67.1,71.1
2020 UC Irvine,UC Irvine,103.1385691,98.09373288,0.640313311,19–11,19,30,51.6,44.9,28,36,20.2,16.4,34.1,25.3,68.4,50.8,40.8,35.6,35.6,9.6,6.7,53.2,48.4,29.9,33.1,68.6,2020,-5.571900397,73.1,71.1
2020 Montana,Montana,100.1170281,98.33118876,0.551561805,17–12,17,29,52.3,48.7,26.1,46.3,16.9,20.5,20.1,25.4,69.2,51.4,48,36.4,33.6,8.9,6.7,46.4,44.1,27.6,31,69,2020,-5.823882624,71.8,72
2020 UAB,UAB,99.50299711,100.3559521,0.475479772,17–13,17,30,49.7,49.3,35.1,27,22.2,18.3,31.8,24.3,67,50.6,48.1,31.7,34,8.8,8.6,41.8,48.1,29.5,41.6,66.2,2020,-7.225531555,71.2,70.6
2020 Tulane,Tulane,100.9028963,100.9710687,0.498058247,12–18,12,30,47.8,52.7,34.2,29.6,16.9,23,22.2,31.2,69.4,46.3,54,33.4,34,7.8,9.2,48,62.9,40.3,43.3,69.3,2020,-9.151606752,71.2,69.4
2020 FIU,FIU,102.7576403,99.97060963,0.57840158,16–13,16,29,51.7,47.9,29.3,30.5,20.4,21.3,30.2,35.5,72.5,52.1,50.6,34.1,28.6,15.4,8.5,50.5,49.3,41.4,35.7,73,2020,-6.228292655,64.6,73.2
