team_year,efg%_off,ftr_off,reb%_off,to%_off,efg%_def,ftr_def,reb%_def,to%_def
2024 Purdue,56.8,40.4,36.6,17,46.7,23.4,24.3,15.3
2024 Tennessee,51.2,32.6,33.6,15.8,43.9,37.8,26.9,18.9
2024 Baylor,58.5,37.5,35.5,16.4,48.6,30.6,28,18.2
2024 Clemson,55.8,26.2,29.2,14.8,49.4,30.3,25,13.7
2024 Dayton,56.9,37.9,29,17.1,46.8,20.4,32.8,16.5
2024 Villanova,50.3,31.9,29.7,15.1,48.8,26.7,23.8,16.9
2024 Colorado St.,58,33,23.3,15.1,50.2,28.8,27.4,18.1
2024 South Carolina,50.9,32.1,34.8,16.4,46.9,31.2,26.6,16.9
2024 Miami FL,57,26.9,29.5,17.5,48.9,19,27.7,18.2
2024 Nebraska,52.8,34.7,30.6,15.5,46.8,24.3,28.6,16.8
2024 Oregon,54.1,35.8,29,15,50.5,34.9,26.7,18.9
2024 Saint Mary's,50,26.4,40.4,17.4,45.1,36.5,23.9,18.4
2024 Samford,57.5,31.7,34.5,19.6,49.8,39.8,31.9,22.7
2024 Eastern Washington,55.9,34.5,25.6,19.6,52.6,39.9,28.5,17.3
2024 Southern,48.6,30.8,24.3,18,53.4,42.8,34.6,21.9
2024 North Carolina Central,46.2,39.7,28.6,17,49.2,37.7,35.2,18.4
2024 Lafayette,44.6,23.8,23.8,19.2,48.3,30.5,30.1,17.7
2024 Connecticut,58.4,35.3,37.5,15.8,45.1,37,27.7,16.9
2024 Wisconsin,53,36.6,31.6,14.9,51.2,30.5,22.5,18.4
2024 Duke,55.2,35.3,29.5,13.3,49.2,26.6,24.1,19.4
2024 TCU,53.9,36.4,35.8,16.7,47.6,32.4,27.6,22.2
2024 Mississippi,53.4,34.7,28.7,14.7,46.4,27.9,34.7,18.9
2024 San Diego St.,50.7,39.5,29.5,15.5,46.9,32.4,28.4,18.1
2024 Creighton,57.8,25.8,28.8,16.1,44.8,14.1,23.6,11.4
2024 Boise St.,50.9,34.7,29.4,18,48,33.7,23,18
2024 Texas A&M,45.3,36.5,44.7,15.6,48.6,31.5,29.6,18.1
2024 Wake Forest,55.2,32.2,28,16,47.2,28.4,27.8,17.6
2024 Kansas St.,50,36.2,37.5,20.6,46.2,24.9,30,18.1
2024 Ohio St.,51,32.3,35.6,16.1,47.3,26.9,28,16.8
2024 McNeese St.,53.2,39,30.6,13.6,48.4,28.6,29.3,19.5
2024 Drexel,50.3,29.5,35.8,18.1,45.2,26.9,25.3,14
2024 High Point,52.6,45.4,38,16.7,50.8,35.1,22.5,13.3
2024 Sam Houston St.,45.9,37.1,29.5,18.2,52,36.6,27.7,19.8
2024 Saint Peter's,44.9,39,36,20.8,48.3,46.3,28,21.1
2024 Kansas,55.2,32.5,28.6,17.1,45.6,24.2,25.9,17
2024 North Carolina,51.5,39.8,33.1,14.3,45,27,26,16.6
2024 Illinois,53.5,33.1,36.2,16.7,43.7,23.4,27.1,13.6
2024 Kentucky,57,30.1,28.2,12.8,48.1,31.7,28.5,17.7
2024 Oklahoma,55.7,33.2,33.1,18.4,44.4,28,25.6,18
2024 Auburn,53.2,39.3,34.1,14.1,43.3,36.4,27.4,19.8
2024 Utah St.,54,38.7,31.2,15.6,48.4,32.7,24.5,18.3
2024 Utah,54.9,28.4,28.5,16.1,48.2,24.4,26,16.1
2024 Mississippi St.,51.7,39.1,33.8,18.8,45,33.1,26.7,19.1
2024 Northwestern,53.8,28.2,25.8,14.4,50.8,37.4,29.2,21
2024 Providence,52,31.8,26.3,18.4,44.9,26.7,25.6,17.7
2024 Texas Tech,53.7,34.2,32.4,15.7,47.8,23.9,28.9,19
2024 Indiana St.,61.1,36.5,23.1,17.4,48.6,28.3,25.7,17.5
2024 UC Irvine,52.2,34.9,30.4,18.2,45.4,35.4,27.2,17
2024 Vermont,53.4,26.4,22,13.9,48.4,24.9,25.9,13.4
2024 Troy,48.9,41.8,35.6,20.3,49.4,40,30.6,20.2
2024 Merrimack,49.1,34.5,22,19.7,46.6,34.6,36.6,22.8
2024 Western Illinois,46.8,36.7,37.8,21.6,47.4,28.4,27.9,13.9
2024 Houston,50.4,31,40.9,14.6,40.8,40.4,28.9,26.6
2024 Arizona,55.5,33.2,37.6,16.3,48.7,24.9,20.1,18.9
2024 Memphis,53.8,39.3,30.3,17.8,48.5,26.7,32.8,19.4
2024 Marquette,52.8,27.3,27.2,14.4,50.1,27.1,28.8,23.3
2024 Alabama,58.3,38.3,34.9,16.4,48,35.1,28.3,16.9
2024 Iowa St.,54.6,39.7,32.9,15.2,45.9,31.6,24.6,26.6
2024 St. John's,50.3,27.8,40.4,16.7,46.8,33.3,31.4,18.4
2024 Florida Atlantic,56.1,32.7,34.5,16.6,48.9,25.6,30.1,17.6
2024 Seton Hall,51.4,31.7,38.1,19.7,48.6,28.2,30.8,19
2024 BYU,57.1,20.9,34.9,15.2,44.4,27.9,21.5,18.1
2024 Grand Canyon,53.7,44.7,36.2,18.1,46.5,32,27.9,19.3
2024 Princeton,56.7,25.5,27.1,13.3,49.9,24.5,27.4,17.5
2024 Akron,53.9,35.5,29.8,18,49.6,28.9,28.3,18.3
2024 Oakland,51.4,31.4,29.8,16.9,52.3,29.6,28.1,17
2024 Denver,52.7,39.4,31,13.4,54.2,29.2,26.9,13.4
2024 Kennesaw St.,51.4,37.5,29.4,16.3,50.9,42.4,32.2,19.9
