team_year,rank_ovr_miya,rank_off_rating_miya,rank_def_rating_miya,rank_ovr_rating_kenpom,rank_off_rating_kenpom,rank_def_rating_kenpom,rank_eff_off,rank_eff_def,rank_point_dist_ft_off,rank_point_dist_2p_off,rank_point_dist_3p_off,rank_point_dist_ft_def,rank_point_dist_2p_def,rank_point_dist_3p_def,rank_true_tempo,rank_adj_tempo,rank_injury,rank_height_eff,rank_experience,rank_bench,rank_size,rank_height_1,rank_height_2,rank_height_3,rank_height_4,rank_height_5,rank_pos_point_dist_1,rank_pos_point_dist_2,rank_pos_point_dist_3,rank_pos_point_dist_4,rank_pos_point_dist_5,rank_pos_reb_dist_1_off,rank_pos_reb_dist_2_off,rank_pos_reb_dist_3_off,rank_pos_reb_dist_4_off,rank_pos_reb_dist_5_off,rank_pos_reb_dist_1_def,rank_pos_reb_dist_2_def,rank_pos_reb_dist_3_def,rank_pos_reb_dist_4_def,rank_pos_reb_dist_5_def
2024 Purdue,2,1,9,3,2,22,8,51,104,246,159,340,153,78,191,175,2,1,81,163,39,257,267,126,49,1,221,174,315,307,4,240,341,174,203,32,18,343,331,269,29
2024 Tennessee,5,19,2,8,20,4,61,12,140,286,102,29,327,143,134,84,5,115,22,216,218,324,201,165,166,87,300,242,58,169,105,216,169,253,186,92,255,265,218,65,132
2024 Baylor,16,4,91,14,4,57,3,82,169,269,105,185,28,330,225,218,16,27,103,136,41,67,56,190,32,49,115,197,79,306,168,204,229,288,212,34,24,120,327,192,208
2024 Clemson,40,13,104,31,14,81,16,185,329,166,98,207,306,51,228,236,40,37,34,189,34,69,156,40,12,106,203,333,252,11,177,315,324,4,62,348,100,307,19,105,341
2024 Dayton,41,32,84,28,10,87,22,125,122,359,15,357,64,111,357,356,41,98,77,323,212,316,268,116,139,84,321,306,148,196,9,170,162,228,35,294,359,89,70,229,118
2024 Villanova,18,25,24,26,38,38,72,80,96,358,22,307,259,44,327,310,18,216,17,113,72,37,16,145,109,305,263,211,107,59,243,319,51,157,23,337,277,174,179,37,264
2024 Colorado St.,32,18,83,25,17,67,21,138,230,101,230,265,116,192,240,252,32,331,82,105,289,246,173,240,248,345,87,349,262,121,42,153,8,327,129,292,268,17,158,63,348
2024 South Carolina,72,87,63,65,69,66,59,69,178,305,63,169,151,216,342,343,72,194,18,131,146,89,148,159,137,258,24,329,247,127,218,100,117,186,220,181,62,219,326,170,100
2024 Miami FL,49,35,100,58,30,118,30,92,322,199,72,360,141,52,80,68,49,232,91,276,152,221,149,23,174,264,258,158,53,66,334,323,275,25,30,342,288,84,193,47,297
2024 Nebraska,59,46,86,49,27,95,43,102,133,332,52,321,276,22,137,151,59,151,48,62,131,171,142,101,123,182,179,267,134,164,138,195,220,20,196,277,179,186,180,220,104
2024 Oregon,51,40,93,53,35,98,53,119,194,185,166,157,139,236,171,168,51,278,160,107,299,228,261,313,347,134,175,234,69,188,237,202,287,214,263,21,274,195,97,283,73
2024 Saint Mary's,35,75,20,39,82,14,90,13,336,65,203,61,106,325,359,357,35,45,182,291,14,24,46,30,46,55,173,147,324,211,47,354,120,233,249,26,298,327,112,34,184
2024 Samford,110,65,180,84,57,146,23,97,276,281,44,52,288,169,3,3,110,224,115,7,344,351,358,222,321,122,350,313,19,202,21,125,303,114,250,107,246,344,42,256,61
2024 Eastern Washington,116,76,202,121,80,197,104,263,209,346,21,65,292,144,89,86,116,99,228,130,51,84,36,80,165,69,351,304,125,105,7,42,5,11,349,358,54,49,45,276,353
2024 Southern,269,315,172,212,282,143,307,196,269,157,151,72,160,285,43,119,269,351,338,18,351,298,282,347,359,294,334,3,321,262,109,89,270,356,184,22,150,82,194,303,119
2024 North Carolina Central,262,289,207,253,281,200,268,220,29,178,282,57,181,280,236,239,262,324,287,91,343,344,212,301,336,276,44,34,82,361,317,221,166,58,320,111,70,22,68,359,225
2024 Lafayette,295,348,138,315,357,151,353,133,327,124,138,177,280,76,284,235,295,75,277,144,145,323,165,31,174,42,312,308,238,86,11,66,292,33,303,189,265,101,50,277,203
2024 Connecticut,9,2,40,7,3,44,2,62,215,203,137,39,204,293,321,320,9,30,80,202,31,45,68,156,96,15,345,108,113,198,63,32,182,178,305,160,203,172,25,263,249
2024 Wisconsin,20,17,39,9,6,27,27,84,88,120,277,273,170,124,340,319,20,14,52,233,22,113,79,63,26,9,341,239,15,194,139,198,268,274,47,176,168,160,247,206,99
2024 Duke,8,5,18,10,7,30,7,33,162,169,211,316,144,108,213,185,8,10,206,244,44,89,188,190,11,17,206,201,287,159,61,272,205,358,11,175,279,134,353,203,11
2024 TCU,24,31,37,22,26,39,28,15,132,22,337,184,55,296,45,41,24,85,3,58,32,89,75,8,56,128,167,155,96,140,308,343,184,60,313,58,193,291,132,171,115
2024 Mississippi,46,42,79,70,44,120,52,112,158,179,190,236,145,176,249,258,46,16,26,306,87,282,79,226,172,3,169,79,236,57,344,341,237,153,102,134,281,202,192,84,156
2024 San Diego St.,27,51,21,23,50,23,103,61,48,193,253,125,224,179,222,191,27,91,51,245,96,287,23,50,38,193,315,243,143,73,102,235,196,362,90,29,329,144,55,122,261
2024 Creighton,10,11,15,15,25,13,14,37,350,303,17,362,1,335,245,257,10,4,10,345,13,121,133,39,8,6,347,209,31,270,30,282,332,309,157,15,261,45,12,335,273
2024 Boise St.,55,96,36,50,107,19,161,38,129,195,194,115,26,344,223,134,55,173,142,253,23,23,8,12,73,281,361,139,174,38,52,344,227,146,148,114,19,187,224,266,207
2024 Texas A&M,36,36,44,35,22,71,64,124,42,172,268,175,342,18,314,321,36,225,62,151,143,213,43,59,174,250,11,145,226,352,197,241,126,202,81,241,160,194,255,145,126
2024 Wake Forest,50,23,80,37,28,63,31,60,180,237,130,211,100,232,193,166,50,12,164,327,62,209,124,207,7,36,52,127,38,308,349,184,335,284,19,191,278,203,347,135,25
2024 Kansas St.,48,84,31,57,104,31,120,40,81,244,184,286,225,74,234,267,48,83,155,317,242,303,297,257,91,95,120,185,145,177,240,278,176,193,53,240,311,317,136,35,155
2024 Ohio St.,30,29,51,47,36,75,46,75,173,212,157,308,66,198,283,285,30,166,124,193,114,89,177,89,174,161,73,153,346,129,159,324,177,30,341,85,185,36,184,349,65
2024 McNeese St.,112,90,162,83,64,134,33,110,120,192,208,213,362,1,330,314,112,314,107,348,335,270,339,328,307,300,5,354,192,254,198,12,327,314,14,328,17,302,335,50,263
2024 Drexel,98,138,82,103,153,70,112,47,243,30,310,256,147,165,349,349,98,276,157,34,120,41,72,102,307,209,161,215,304,266,15,280,164,270,297,14,95,280,135,309,72
2024 High Point,127,56,271,124,43,285,12,235,10,294,252,106,239,177,153,187,127,157,316,320,156,61,162,313,236,105,48,73,206,190,355,349,299,339,73,27,240,222,128,152,151
2024 Sam Houston St.,179,216,147,183,212,160,273,147,38,240,229,147,197,189,138,117,179,288,291,74,308,320,127,299,322,221,283,58,284,60,226,261,23,84,244,262,94,236,220,133,174
2024 Saint Peter's,184,295,88,197,304,97,265,53,13,231,287,8,322,230,351,352,184,262,328,27,161,26,147,272,278,232,182,269,306,7,225,86,47,340,127,203,46,277,341,62,163
2024 Kansas,11,20,12,18,40,11,65,31,220,40,304,327,215,59,139,148,11,8,16,355,9,78,151,12,99,2,360,344,12,148,13,352,93,271,175,67,360,309,74,332,3
2024 North Carolina,6,12,7,5,16,5,32,26,35,217,255,205,145,191,54,47,6,55,4,272,150,262,271,140,79,53,28,302,293,296,44,289,134,289,195,55,244,321,315,187,7
2024 Illinois,12,8,25,13,11,32,25,29,197,201,144,329,20,282,97,77,12,130,15,123,10,3,2,43,95,166,235,24,320,197,158,10,251,56,258,311,199,220,191,61,233
2024 Kentucky,17,9,54,19,8,54,5,96,296,205,77,197,287,61,21,13,17,73,162,240,26,26,78,25,48,112,100,110,47,331,277,287,315,51,55,278,7,296,303,193,241
2024 Oklahoma,26,43,27,20,42,21,34,9,199,152,199,153,61,308,180,194,26,148,145,194,104,53,79,218,219,99,141,337,54,218,119,358,361,254,141,6,190,247,254,45,190
2024 Auburn,4,7,5,4,9,6,13,7,53,210,234,19,273,248,79,56,4,82,123,9,103,220,150,54,112,76,166,219,309,213,23,293,242,122,222,82,290,171,330,147,32
2024 Utah St.,45,63,41,41,47,46,35,48,111,25,339,171,48,315,86,121,45,84,69,299,147,80,213,329,101,89,316,85,246,19,271,296,63,310,17,288,90,77,333,43,300
2024 Utah,37,41,32,24,19,52,51,64,341,159,91,354,188,48,60,62,37,2,53,221,2,39,24,28,4,4,346,232,171,58,53,200,76,355,5,318,220,196,279,49,191
2024 Mississippi St.,23,59,8,29,72,9,111,14,68,229,202,100,199,226,202,161,23,137,67,141,224,305,284,114,174,103,20,222,302,291,137,276,286,124,226,69,216,323,242,97,57
