team_year,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_miya,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_miya,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_miya,def_rating_torvik
2024 Purdue,16.8,28.6925,28.07241415,0.972992494,5.143493099,10.6,123.65,17.88431991,124.9877999,6.2,94.9576,10.18809423,91.51850707
2024 Tennessee,14.9,25.2712,24.11524629,0.934049675,2.336885322,6.3,116.733,10.94293072,115.1590922,8.6,91.4621,13.17231557,91.45300255
2024 Baylor,13.3,22.5877,18.84584972,0.901515672,2.794397242,10.7,121.419,14.95279766,120.6230104,2.6,98.8315,3.893052058,99.49751555
2024 Clemson,10.3,17.6433,13.64299353,0.887108271,1.861243835,7.4,118.039,10.57704193,118.9156347,2.8,100.396,3.065951599,99.39980285
2024 Dayton,10.2,18.0996,13.48137525,0.882983411,3.204218091,6.8,118.753,9.274979408,120.288972,3.4,100.653,4.206395839,100.9028958
2024 Villanova,10.9,18.1297,18.65587176,0.876612499,0.121359017,5.9,115.01,10.07813346,113.27782,5,96.8799,8.577738299,95.52086158
2024 Colorado St.,7.4,18.2509,15.27145941,0.888675468,1.940816506,6.5,117.731,11.02149729,117.2624573,0.9,99.4798,4.249962116,97.88383215
2024 South Carolina,5.8,12.0644,9.803539295,0.799826085,1.989040767,2.5,111.51,4.488285321,111.0425199,3.3,99.4455,5.315253974,98.4412913
2024 Miami FL,8.8,13.0313,12.43942488,0.849158353,0.364247963,6.7,115.554,9.044920359,116.1421303,2.1,102.522,3.394504523,99.93825253
2024 Nebraska,7.1,14.4923,11.25480123,0.836884412,1.117414671,4.7,115.778,7.176304681,115.427049,2.4,101.286,4.078496545,100.1275705
2024 Oregon,7.1,13.7643,12.36702484,0.811098634,1.134371287,5.2,115.137,8.527329705,113.8673207,1.8,101.372,3.839695133,100.3158739
2024 Saint Mary's,10.3,16.3977,14.61968881,0.904434008,-1.009803744,3.4,110.44,5.650188912,110.9047471,6.9,94.0421,8.969499896,91.21666254
2024 Samford,4.5,9.13918,5.070941266,0.745031098,0.285302942,3.9,113.198,5.871439697,112.5653158,0.5,104.059,-0.800498431,102.5439532
2024 Eastern Washington,3.8,4.01291,4.262436665,0.600069464,-2.280982996,3.4,110.499,5.508835347,109.0818996,0.4,106.486,-1.246398682,105.3002684
2024 Southern,-1.6,-3.74047,-6.764800988,0.462748782,-2.713053719,-2.7,100.233,-6.650879289,100.4453356,1.2,103.973,-0.1139217,101.757716
2024 North Carolina Central,-1.9,-6.35566,-6.130394002,0.279335001,-4.099134984,-2.1,100.265,-4.78621551,98.53879925,0.3,106.621,-1.344178493,107.0038176
2024 Lafayette,-7.4,-12.7292,-9.462935421,0.224138043,-8.791795956,-8.2,91.675,-10.75463937,90.94518899,0.8,104.404,1.291703949,101.3147498
2024 Connecticut,14,25.393,21.91468821,0.929436867,3.42355871,10.3,123.295,15.73652219,123.2713302,3.8,97.9022,6.178166014,98.51489644
2024 Wisconsin,13.2,23.9904,18.03339625,0.91526418,3.326222573,8.2,119.719,11.00133792,119.0681103,5.1,95.7283,7.032058337,96.81166397
2024 Duke,14.8,23.8638,22.26929199,0.903988233,1.546371814,10.1,119.69,13.51648241,118.8505105,4.7,95.8264,8.752809579,97.79563234
2024 TCU,11.3,18.8418,16.73521403,0.876444543,1.18086764,5.9,115.94,9.368204225,116.1241572,5.4,97.0986,7.367009803,97.93423398
2024 Mississippi,6.2,11.388,12.71823458,0.799159316,2.369855373,4.5,114.206,8.284944891,114.3116886,1.7,102.818,4.433289686,101.3761308
2024 San Diego St.,8.3,18.5316,15.97112425,0.876770884,2.549754062,3,113.626,7.002270643,112.1362514,5.4,95.0946,8.968853604,94.54619439
2024 Creighton,14.9,22.4332,21.06426556,0.926924204,1.917076761,9.6,116.283,11.85318004,116.88525,5.3,93.8494,9.211085519,93.71802554
2024 Boise St.,7.7,14.412,11.66679083,0.854896811,1.133771645,3.5,108.941,4.206842373,108.2054566,4.2,94.5289,7.459948454,92.74105976
2024 Texas A&M,11.2,16.8123,14.59096899,0.839262098,0.286986258,7,116.501,8.382216605,115.9265481,4.2,99.6891,6.20875239,100.4077677
2024 Wake Forest,10.2,16.5037,12.41318052,0.816188045,0.170992223,6.5,115.723,8.591623995,113.7602185,3.7,99.2191,3.821556529,99.92941221
2024 Kansas St.,8.7,13.1171,12.51072165,0.801363146,0.411470368,3.5,109.078,4.657156576,107.4153982,5.2,95.9607,7.853565073,95.1460867
2024 Ohio St.,8.3,15.1966,15.47803476,0.86968146,-0.563076938,5.4,115.059,9.460976128,115.3751157,2.9,99.8624,6.017058633,97.8203455
2024 McNeese St.,6.7,9.1526,4.660455258,0.73267882,0.540890276,4.2,112.536,4.37707655,111.7592068,2.5,103.384,0.283378709,102.3780294
2024 Drexel,5.9,6.77066,6.431352076,0.66116791,-2.948857183,1.5,106.427,2.079970532,104.309274,4.4,99.6567,4.351381544,98.41857588
2024 High Point,2.8,3.7443,3.178716508,0.656827519,-1.69711401,5.1,114.276,6.885101119,115.3417255,-2.3,110.532,-3.706384611,109.0109236
2024 Sam Houston St.,-1.7,-1.55187,-0.828588825,0.442250396,-4.012722928,-2.8,103.213,-1.755080897,102.0156013,1,104.764,0.926492072,104.0948618
2024 Saint Peter's,-2.6,-2.67826,-1.073155505,0.430201858,-2.785675707,-4.1,98.6621,-5.146994325,97.22287896,1.5,101.34,4.07383882,99.62799992
2024 Kansas,11.9,21.1173,20.27806956,0.896383537,3.026329032,6.1,114.572,10.60467724,112.6716995,5.8,93.4549,9.673392323,93.39656901
2024 North Carolina,14,25.8468,22.55978139,0.933336053,2.985971366,7.5,117.81,11.68834972,116.6363672,6.6,91.9635,10.87143167,92.71906138
2024 Illinois,13.4,22.738,20.0065817,0.916223117,0.952231508,7.1,118.748,11.84719308,117.5655874,6.3,96.0105,8.159388617,95.48674382
2024 Kentucky,11.8,20.9248,18.72868181,0.889958037,1.136638591,8.8,119.616,12.86804182,119.2302254,3,98.691,5.860639996,99.41370523
2024 Oklahoma,10.6,19.4328,16.30537806,0.89001286,1.459648273,5.6,114.359,8.008425275,112.9778912,5,94.9264,8.296952785,94.19594648
2024 Auburn,15,26.266,25.19560751,0.953557126,1.847018148,8.3,118.854,13.82061891,119.7911241,6.7,92.5881,11.3749886,92.10866738
2024 Utah St.,8,16.0641,12.75915837,0.843612284,2.57307635,5.1,114.004,6.223933568,112.7426003,3,97.9395,6.5352248,97.3735645
2024 Utah,9.9,18.4314,14.25727256,0.900751279,1.356207458,5.6,116.868,7.991218096,117.3043604,4.2,98.4363,6.266054463,96.83229952
2024 Mississippi St.,9.8,18.0169,16.79284989,0.898860481,0.799110849,3.3,111.312,6.234586447,111.0310332,6.6,93.295,10.55826344,91.82110612
2024 Northwestern,7.9,13.3715,11.25745235,0.814388395,1.199701996,5.1,113.116,6.751386848,112.2074931,2.8,99.7444,4.506065504,98.66794459
