team_year,true_tempo,10pt_runs_per_game,10pt_runs_conceded_per_game,10pt_runs_total,10pt_runs_conceded_total,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2024 Purdue,69.47642018,0.882352941,0.294117647,15,5,2.34304,3.04,78.17,32.63,71.1,71.1245,68.3989,20.41522491,48.44290657,31.14186851,14.89001692,51.60744501,33.50253807,19.59,19.98,15.34,15.39,29.64,6.35,5.04,17.11,24.38,47.03,20.91,11.55,14.01,20.15,33.32
2024 Tennessee,70.37500021,0.6875,0.1875,11,3,2.77829,0.4,76.88,30.31,70.8,70.7414,70.2164,19.69817315,47.18030183,33.12152502,23.10606061,45.64393939,31.25,16.27,18.26,23.53,20.04,21.81,6.97,11.76,13.57,25.38,42.26,12.51,14.68,18.16,27.52,27.07
2024 Baylor,68.99192551,1.066666667,0.133333333,16,2,2.1878,1.39,78.14,33.55,69,68.9509,67.7272,19.20374707,47.77517564,33.02107728,18.70155039,56.58914729,24.70930233,22.41,19.41,22.71,15.56,19.74,7.27,9.76,12.12,23.92,46.71,20.11,18.14,14.38,22.77,24.46
2024 Clemson,68.96587016,0.5625,0.375,9,6,2.65007,1.27,78.2,31.22,68.8,68.8234,67.2775,15.25291829,51.3618677,33.38521401,18.18181818,46.75324675,35.06493506,20.23,14.98,17.63,27.68,19.43,4.34,6.08,34.68,33.91,20.84,16.18,12.97,26.18,25.75,18.81
2024 Dayton,64.95247831,0.666666667,0.466666667,10,7,2.37649,0.54,76.96,24.3,63.5,63.5367,63.008,20.07266122,40.69028156,39.23705722,13.42975207,54.33884298,32.23140496,15.55,16.12,20.58,19.44,28.16,8.35,11.81,14.46,36.54,28.63,8.03,19.16,23.28,21.54,27.8
2024 Villanova,66.84548192,0.733333333,0.533333333,11,8,2.9308,-0.31,77.83,34.64,65.7,65.7255,65.5355,20.6022187,40.88748019,38.51030111,16.04609929,48.58156028,35.37234043,17.78,19.01,21.83,23.92,17.47,4.24,16.13,17.62,37.6,24.42,11.99,16.83,19.33,29.04,22.81
2024 Colorado St.,68.72920702,0.785714286,0.214285714,11,3,2.3348,-1.22,76.48,35.05,68.7,68.7018,66.939,17.75784753,53.4529148,28.78923767,17.31160896,52.74949084,29.9389002,23.66,13.5,17.32,21.17,24.23,8.86,23.05,10.29,28.9,28.76,12.19,22.1,19.97,27.63,18
2024 South Carolina,66.35905655,0.625,0.25,10,4,2.9029,-0.21,77.38,33.78,65.1,65.0512,64.1972,19.02313625,46.27249357,34.70437018,19.02439024,51.70731707,29.26829268,27.68,15.19,17.87,21.08,18.18,10.49,13.2,16.78,23.68,35.85,17.77,15.77,14.4,23.56,28.5
2024 Miami FL,71.44243022,1.1875,0.5625,19,9,2.26119,-0.39,77.32,27.43,72.4,72.3774,70.8098,15.68334578,50.0373413,34.27931292,12.88927336,52.07612457,35.03460208,18.02,20.54,23.75,23.58,14.04,4.07,8.41,26.64,37.14,23.57,11.68,19.3,18.95,28.67,21.31
2024 Nebraska,70.29961552,0.823529412,0.352941176,14,6,2.52982,0.16,77.45,36.82,69.7,69.5235,68.6883,19.83471074,44.77836213,35.38692712,15.65957447,47.82978723,36.5106383,20.85,17.2,20.95,20.17,20.69,7.53,10.2,27.12,25.08,29.89,14.01,16.54,19.29,21.88,28.12
