team_year,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik
2019 Abilene Christian,1,2.08626,0.535169963,-2.474528727,0.2,103.625,102.2168962,0.9,101.539,100.9720478
2021 Abilene Christian,5.8,10.1273,0.728243526,-1.064162083,-0.7,103.047,100.9224755,6.5,92.9196,92.63222414
2009 Akron,5.8,6.9826,0.698231126,-5.16055447,0.4,102.057,101.1490685,5.4,95.0743,94.0332558
2011 Akron,3,3.75741,0.579036786,-5.485776645,1.2,103.29,101.3768264,1.9,99.533,98.60490456
2013 Akron,8.1,13.7427,0.791904684,0.557809929,4.5,107.801,105.4091432,3.6,94.0583,93.84427759
2022 Akron,4.2,3.48951,0.559424523,-4.269941702,3,106.151,104.824139,1.2,102.661,102.6696474
2012 Alabama,11.2,16.6596,0.882907417,1.55699952,-0.3,106.031,104.961117,11.5,89.3714,88.05094644
2018 Alabama,8.6,13.8252,0.802289768,-1.122369962,2.7,108.459,106.93054,6,94.6334,94.66859344
2021 Alabama,14.4,24.9876,0.928229648,6.87846501,5.8,111.722,110.7106716,8.6,86.734,88.6174032
2022 Alabama,11.6,17.3625,0.871860674,1.961055714,8.2,116.098,115.8763062,3.4,98.7358,98.0799702
2023 Alabama,18.9,27.5425,0.955872708,10.19348675,8.1,116.097,115.4240153,10.8,88.5549,88.33828829
2009 Alabama St.,-2.6,-2.01623,0.416138016,-4.98380907,-3.2,101.941,99.63642188,0.6,103.957,102.6141052
2011 Alabama St.,-9.5,-13.0699,0.138905409,-12.89196304,-9.2,92.3675,90.08729432,-0.3,105.437,105.5752096
2013 Albany,1.3,1.15535,0.542212452,-4.343509903,-1.7,102.346,101.088923,3.1,101.191,99.61202887
2014 Albany,-1,-1.71363,0.448397792,-8.52490024,-4.4,102.179,102.2434697,3.4,103.893,104.1018405
2015 Albany,2.4,3.03231,0.571800361,-2.992558242,-1.5,106.463,104.7214001,3.9,103.431,102.120719
2008 American,0.8,1.686,0.514569895,-5.815178897,-3,108.308,105.041322,3.8,106.622,104.5101913
2009 American,3.6,4.50143,0.600232384,-2.143345322,-2.3,104.705,102.9702628,5.8,100.204,99.39464061
2014 American,1.6,5.87548,0.637259888,-5.337673571,-6.7,103.925,103.4674359,8.3,98.0491,98.51981776
2021 Appalachian St.,-0.6,-4.33805,0.339286667,-7.642251424,-1.5,99.3998,98.39915062,0.9,103.738,104.2702923
2008 Arizona,10.7,20.2271,0.904649252,1.496067175,6.6,116.577,115.1434386,4.1,96.3494,94.68236502
2009 Arizona,6.8,16.0133,0.853962949,0.723383952,7,117.23,116.3074172,-0.2,101.217,99.75021689
2011 Arizona,12.7,18.8834,0.898474463,4.623825701,9.7,115.936,115.7264006,3,97.0522,95.73939262
2013 Arizona,14.5,20.5305,0.909737548,4.580853061,9.2,114.263,113.0025112,5.3,93.7326,92.4347219
2014 Arizona,17.7,30.3964,0.962416656,9.476186033,5.9,115.193,114.9515404,11.8,84.7964,86.7057776
2015 Arizona,19.6,32.3143,0.965352359,8.94266985,10.7,118.227,115.4741946,8.9,85.9123,86.46328034
2016 Arizona,14.8,21.8831,0.90431027,3.47416173,9.6,117.368,116.3969596,5.2,95.4851,95.74579541
2017 Arizona,14.7,22.7427,0.919234207,7.872594021,8.8,117.585,116.2030756,5.9,94.8418,94.05334725
2018 Arizona,11.9,19.3692,0.863612373,3.815758509,9.4,119.012,117.3041897,2.5,99.6425,99.91117259
2022 Arizona,17.6,27.2089,0.943347961,8.76115921,10.5,119.64,118.0391306,7.1,92.431,92.42988327
2023 Arizona,14.2,22.8595,0.930936676,7.571131291,9.6,119.979,119.6757089,4.6,97.1195,95.44948801
2009 Arizona St.,13,23.4381,0.935270034,4.734235017,4.1,117.682,117.1687094,8.9,94.244,92.88738161
