team_year,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def
2019 Abilene Christian,49.8,38.3,107.102,72.3,49.2,33.5,96.7466,72.3
2021 Abilene Christian,50.8,37.7,106.373,68.8,46.3,29.1,86.3925,69.1
2009 Akron,47.4,32.9,100.99,71.5,45.8,29.3,91.9536,69.2
2011 Akron,47.3,36,103.175,70.8,46,31.8,97.6911,66.3
2013 Akron,52.2,33.2,106.661,64.3,42.2,32.2,92.3323,71.5
2022 Akron,52.4,35.6,107.883,69.2,47.8,34.7,99.9619,70.3
2012 Alabama,51.4,28.5,100.89,71.5,43.9,28.3,90.5515,65.1
2018 Alabama,53.2,32.5,102.776,67.2,46.8,31.9,99.7099,68.1
2021 Alabama,50.1,35.1,105.998,72,46.4,28.8,92.8416,68.6
2022 Alabama,56.3,30.8,109.137,73,49.3,33.1,104.116,71.2
2023 Alabama,54.6,33.8,110.862,72.6,41.2,28.1,91.7957,71.4
2009 Alabama St.,52.8,32.9,105.013,63.3,42.9,29.8,96.2504,66.1
2011 Alabama St.,44.6,29.2,92.1392,60.9,43.5,36.1,96.6248,69.2
2013 Albany,47.4,36.4,102.015,73.4,47.1,33.1,95.7794,65.3
2014 Albany,46.6,36.4,103.577,74.8,45.6,35.2,100.203,72.2
2015 Albany,48.1,36,106.836,76.1,45.9,36.5,98.1293,69.8
2008 American,46.5,40.9,106.919,74.3,44.6,35.1,101.529,73.8
2009 American,52.1,37.7,104.872,64.8,42.6,33,94.1783,71.8
2014 American,55.7,38.2,104.931,71,45.4,31.3,96.4633,67.3
2021 Appalachian St.,46.7,32.6,100.327,71.6,50.4,33.5,101.33,72.1
2008 Arizona,51.3,39.6,109.188,74.3,47.5,33.7,102.002,70.2
2009 Arizona,50.7,39.5,111.384,73.4,49.1,35.5,105.805,68.2
2011 Arizona,51.2,39.9,112.742,74.7,50.5,28.8,98.916,66.6
2013 Arizona,50.3,36.3,108.948,74.8,44,36,94.7472,70.4
2014 Arizona,50.9,35.6,112.267,65.5,40.5,31.4,88.8129,70.3
2015 Arizona,53.4,36,113.625,69.9,42,32.8,87.414,69.2
2016 Arizona,52.3,38.3,113.644,72.3,45.5,32.1,96.3315,71.2
2017 Arizona,51,39.8,113.069,75.8,47.9,30.6,97.3254,69
2018 Arizona,56.6,37.7,115.915,76.1,47.4,35.2,101.893,73.2
2022 Arizona,57.5,35.4,115.613,73.8,41.9,32.7,92.5195,67
2023 Arizona,56.6,38.2,113.208,70.9,45.9,32.8,98.1517,71.4
2009 Arizona St.,57.5,36.6,113.584,74,46.3,31.4,98.1255,73.4
2014 Arizona St.,48.9,38.6,107.019,69.4,45,32.4,98.0732,64.4
2018 Arizona St.,53.3,36.4,114.116,73.8,50.4,34.1,103.283,72.4
2019 Arizona St.,50.6,34.1,106.426,67.1,47.2,33.6,99.8027,70.9
2023 Arizona St.,47.9,31.4,100.983,68.9,43.8,33.6,96.9713,70.2
2008 Arkansas,52,33.9,106.105,67.2,46.4,32.8,96.5362,70
2015 Arkansas,49.1,35,109.877,72.4,46.6,35.3,99.3058,71.3
2017 Arkansas,50.2,36.4,111.441,76.2,47.2,33.2,103.717,70.5
2018 Arkansas,51.4,40,112.175,67.8,48,35.5,105.171,72.5
2021 Arkansas,51.9,33.9,108.753,73.7,46.9,32.6,93.4594,68.6
2022 Arkansas,50.9,30.7,106.057,75.3,46.4,32.8,94.3928,73.2
2023 Arkansas,53.8,31.7,105.743,69,46.9,30.6,95.813,71.4
2011 Little Rock,42.1,39.7,101.781,69.4,49.9,34,103.354,70.2
2016 Little Rock,49.4,38.7,108.823,73.2,45.1,30.1,93.1235,69
2010 Arkansas Pine Bluff,45,30.2,93.2166,66.2,44.4,33.1,94.0107,66.3
2018 Auburn,49.4,36.6,113.46,78.6,47.1,35.4,99.9304,72.7
2019 Auburn,51.3,38.1,113.662,71.6,50.4,35.6,99.1996,71.2
2022 Auburn,51.9,32,108.347,73.3,42.6,31.2,92.1279,72.9
2023 Auburn,51,31.4,105.387,70.2,46.9,28.8,97.2563,70.5
2008 Austin Peay,49,38.6,108.306,71.5,53,37.1,102.47,69.8
2016 Austin Peay,51.2,34.9,104.791,67,52.9,36.4,108.127,70.5
2008 Baylor,49.7,37.6,110.184,74.1,46.3,34.7,101.567,70.2
2010 Baylor,53.1,38.6,112.779,73.3,41.5,33.8,98.1428,67.6
2012 Baylor,50.8,37.7,109.239,75.2,45.5,33.9,96.1272,68.7
2014 Baylor,48.2,38.4,114.101,67.3,45.6,36.7,105.684,67.5
2015 Baylor,46,38.2,109.564,66.7,46.5,29.8,95.7085,64.7
2016 Baylor,49.9,37.4,112.458,72.7,48.7,37.1,102.671,70.1
2017 Baylor,52.5,35.3,110.829,71.2,44.2,31.4,97.4975,72.3
2019 Baylor,50.9,34,107.248,67.4,47.1,34.1,100.481,68
2021 Baylor,54.1,41.8,119.43,69.7,48.1,34,94.472,68.6
2022 Baylor,53.5,34.6,111.13,69.8,49.5,29.9,92.7023,70.1
2023 Baylor,50.8,37.2,113.141,74.9,53.3,32.2,103.675,70.7
2008 Belmont,52.2,36.3,109.9,69.8,51.9,34.8,102.552,70.3
2011 Belmont,52.4,38.1,114.765,73.7,44.1,32.7,88.0346,67.5
2012 Belmont,54.7,38.1,116.677,73.7,46.6,33.7,96.034,65.4
2013 Belmont,57.1,37.6,112.45,73.5,46.2,32.9,94.4447,70.6
2015 Belmont,56.3,37.9,109.106,69,51.2,34.3,103.917,70.6
2019 Belmont,59.5,37.1,116.393,73.6,47.2,34.7,99.6691,69.8
2009 Binghamton,48.7,33.1,103.334,68.6,45.2,32.4,98.5663,69.8
2008 Boise St.,56.1,39.6,109.984,66.6,48.9,34.7,102.734,71.1
2013 Boise St.,48.2,38.7,107.066,74.9,50.4,34.1,100.03,71.2
2015 Boise St.,49.8,39.1,109.924,72.8,47.8,31.2,95.9639,70.1
2022 Boise St.,51.1,34.1,103.572,65,48,32.4,92.8519,72.1
2023 Boise St.,50.7,36,105.781,73.9,47.8,31,95.3921,69.3
2009 Boston College,49.7,33.7,110.121,73.4,46.4,32.7,103.753,69.3
2011 Boston University,43.5,35.5,103.323,73.1,44.1,32.1,99.6121,70.5
2019 Bradley,46.7,36.8,100.293,69.2,46.4,33,98.6984,71.9
2022 Bryant,52.6,30.7,105.275,73.4,47,32.1,100.608,68
2011 Bucknell,47.1,40.2,106.365,78.6,43.7,31.5,95.4503,69.5
2013 Bucknell,48.6,36,107.665,74.6,41,30.9,92.2643,69.8
2017 Bucknell,54.6,37.7,108.236,67.9,46.5,34,96.036,65.7
2018 Bucknell,55.6,34.3,110.427,71.7,46.5,33.2,98.86,69.6
2015 Buffalo,47.6,34,108.964,72.2,47.9,33,99.2978,66.2
2016 Buffalo,49.2,33.5,104.917,70.9,48.8,34.4,103.878,71.5
2018 Buffalo,54.2,37.2,113.539,69.6,47.7,33.3,102.44,74
2019 Buffalo,55.8,33.6,112.955,68.8,48.8,29.7,94.4045,69.6
2008 Butler,52,37.6,112.905,73.7,47.9,32.1,95.2259,67.5
2009 Butler,50.7,35.3,106.663,72.1,42,32.3,92.7027,71
2010 Butler,52.5,34.2,108.722,74.8,46.3,30.9,92.7457,69.1
2011 Butler,49,36.2,109.473,72.8,48.7,32.7,97.9504,66.1
2013 Butler,50.7,34.3,105.585,68.9,45.6,33.1,97.8349,69.9
2015 Butler,47.2,35.8,106.552,68,47.3,30.6,93.8813,67.9
