team_year,experience,height_eff,size,bench,adj_tempo,tempo_kenpom,adj_tempo_kenpom,point_dist_ft_off,point_dist_2p_off,point_dist_3p_off,point_dist_ft_def,point_dist_2p_def,point_dist_3p_def,pos_point_dist_1,pos_point_dist_2,pos_point_dist_3,pos_point_dist_4,pos_point_dist_5,pos_reb_dist_1_off,pos_reb_dist_2_off,pos_reb_dist_3_off,pos_reb_dist_4_off,pos_reb_dist_5_off,pos_reb_dist_1_def,pos_reb_dist_2_def,pos_reb_dist_3_def,pos_reb_dist_4_def,pos_reb_dist_5_def
2019 Abilene Christian,2.12,-0.79,75.89,30.04,66.6,66.5681,66.0042,19.06779661,50.56497175,30.36723164,21.77460479,52.21825599,26.00713921,17.2,18.83,14.8,23.82,25.3,7.52,6.14,17.26,38.77,30.27,15.46,18.71,18.34,23.1,24.34
2021 Abilene Christian,2.3,-0.08,75.1,36.46,71.6,71.6065,69.9524,18.1671159,50.45822102,31.37466307,23.52176738,50.94217024,25.53606238,12.79,16.56,19.64,22.88,28.14,9.58,11.32,13.97,25.93,39.19,15.2,15.46,19.33,25.26,24.75
2009 Akron,1.49,1.5,76.35,36.53,65,64.9547,64.5005,21.1886,46.2532,32.5581,25.9138,50.328,23.7582,21.55,17.41,24.43,21.41,15.2,5.5,9.91,29.9,28.76,25.93,10.85,13.42,24.23,26.55,24.95
2011 Akron,2.03,1.2,76.56,31.46,66.8,66.658,66.2222,18.152,47.9671,33.8809,21.6437,53.7005,24.6558,18.5,16.04,23.03,24.56,17.87,9.77,3.71,17.63,30.56,38.34,13.77,14.35,20.22,27.34,24.33
2013 Akron,1.61,2.35,77.86,37.98,66.4,66.6607,64.6243,18.838,52.6408,28.5211,21.9029,52.8246,25.2725,16.34,17.77,21.06,21.35,23.48,6.95,13.01,23.84,24.92,31.29,11.55,17.79,21.29,21.78,27.59
2022 Akron,1.17,0.12,76.44,26.04,63.8,63.8375,62.0745,20.62698773,46.25170377,33.1213085,15.83577713,52.49266862,31.67155425,20.15,18.74,15.86,24.38,20.87,12.1,7.33,16.52,43.5,20.56,18.41,14.85,15.15,36.07,15.52
2012 Alabama,1.01,0.1,76.77,36.42,63.1,63.8917,61.5091,20.7494,60.1405,19.1101,22.0021,52.3462,25.6517,19.91,17.91,16.44,23.35,22.39,7.78,9.13,19.77,26.6,36.72,13.47,19.55,18.66,23.81,24.51
2018 Alabama,0.74,1.04,78.1,36.57,70.3,70.2901,68.7962,21.31336406,52.30414747,26.38248848,20.72355486,48.36806921,30.90837593,28.66,20.13,14.54,19.07,17.54,13.65,8.46,16.03,31.14,30.65,12.57,15.7,23.2,25.77,22.69
2021 Alabama,1.88,0.26,77.69,32.95,75.1,75.1471,73.9267,16.47014074,43.81894256,39.7109167,18.76351059,54.64764375,26.58884565,24.99,21.39,17.54,20.05,15.97,8.65,10.97,17.47,37.39,25.44,12.63,19.21,20.81,23.97,23.31
2022 Alabama,1.65,0,77.12,29.69,73.3,73.3157,71.7144,18.90964544,46.20663363,34.88372093,19.97621879,50.89179548,29.13198573,23.43,21.48,18.81,17.2,19.08,5.93,13.3,19.71,28,33.05,15.74,21.34,22.51,20.67,19.74
